Alteration	DBTRG05MG_CENTRAL_NERVOUS_SYSTEM	SF295_CENTRAL_NERVOUS_SYSTEM	M059K_CENTRAL_NERVOUS_SYSTEM	D341MED_CENTRAL_NERVOUS_SYSTEM	SW1783_CENTRAL_NERVOUS_SYSTEM	F5_CENTRAL_NERVOUS_SYSTEM	U178_CENTRAL_NERVOUS_SYSTEM	SF172_CENTRAL_NERVOUS_SYSTEM	DKMG_CENTRAL_NERVOUS_SYSTEM	DAOY_CENTRAL_NERVOUS_SYSTEM	D283MED_CENTRAL_NERVOUS_SYSTEM	H4_CENTRAL_NERVOUS_SYSTEM	NMCG1_CENTRAL_NERVOUS_SYSTEM	CAS1_CENTRAL_NERVOUS_SYSTEM	KNS42_CENTRAL_NERVOUS_SYSTEM	YH13_CENTRAL_NERVOUS_SYSTEM	KNS60_CENTRAL_NERVOUS_SYSTEM	MOGGCCM_CENTRAL_NERVOUS_SYSTEM	GAMG_CENTRAL_NERVOUS_SYSTEM	GOS3_CENTRAL_NERVOUS_SYSTEM	MOGGUVW_CENTRAL_NERVOUS_SYSTEM	X42MGBA_CENTRAL_NERVOUS_SYSTEM	KS1_CENTRAL_NERVOUS_SYSTEM	X1321N1_CENTRAL_NERVOUS_SYSTEM	GMS10_CENTRAL_NERVOUS_SYSTEM	X8MGBA_CENTRAL_NERVOUS_SYSTEM	GI1_CENTRAL_NERVOUS_SYSTEM	SNB19_CENTRAL_NERVOUS_SYSTEM	YKG1_CENTRAL_NERVOUS_SYSTEM	U251MG_CENTRAL_NERVOUS_SYSTEM	T98G_CENTRAL_NERVOUS_SYSTEM	LN18_CENTRAL_NERVOUS_SYSTEM	U118MG_CENTRAL_NERVOUS_SYSTEM	U87MG_CENTRAL_NERVOUS_SYSTEM	A172_CENTRAL_NERVOUS_SYSTEM	HS683_CENTRAL_NERVOUS_SYSTEM	CCFSTTG1_CENTRAL_NERVOUS_SYSTEM	LN229_CENTRAL_NERVOUS_SYSTEM	KALS1_CENTRAL_NERVOUS_SYSTEM	KNS81_CENTRAL_NERVOUS_SYSTEM	AM38_CENTRAL_NERVOUS_SYSTEM	GB1_CENTRAL_NERVOUS_SYSTEM	BECKER_CENTRAL_NERVOUS_SYSTEM	SF126_CENTRAL_NERVOUS_SYSTEM	ONS76_CENTRAL_NERVOUS_SYSTEM	SW1088_CENTRAL_NERVOUS_SYSTEM	SNU738_CENTRAL_NERVOUS_SYSTEM	SNU626_CENTRAL_NERVOUS_SYSTEM	SNU1105_CENTRAL_NERVOUS_SYSTEM	SNU489_CENTRAL_NERVOUS_SYSTEM	SNU466_CENTRAL_NERVOUS_SYSTEM	SNU201_CENTRAL_NERVOUS_SYSTEM	KG1C_CENTRAL_NERVOUS_SYSTEM	TM31_CENTRAL_NERVOUS_SYSTEM	U138MG_CENTRAL_NERVOUS_SYSTEM
DDX11L1	1	0	-1	-2	0	2	0	1	0	1	-1	1	0	1	0	0	-1	-1	1	-1	0	1	2	1	0	1	1	0	0	1	-1	-1	1	-1	-1	-1	1	0	1	-1	1	1	-1	1	-1	-2	1	1	0	1	-2	0	-1	0	1
FAM138A	-1	1	-1	-2	-1	0	1	0	0	1	-1	1	-2	-1	0	0	-1	-1	-2	-1	-1	-1	2	1	0	-2	-1	0	0	0	-1	-1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	-1	-2	1	1	0	1	-2	-1	-1	-1	1
FAM138F	-1	1	-1	-2	-1	0	1	0	0	1	-1	1	-2	-1	0	0	-1	-1	-2	-1	-1	-1	2	1	0	-2	-1	0	0	0	-1	-1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	-1	-2	1	1	0	1	-2	-1	-1	-1	1
WASH7P	-1	0	-2	-2	-2	0	-1	1	0	1	-1	1	-2	-1	-1	0	-2	-1	-2	-2	-1	-2	2	1	-1	-2	-2	0	0	0	-1	-1	0	-1	-1	-1	-1	-1	1	-2	1	-1	-2	-1	0	-2	1	1	-1	1	-2	-1	-2	-1	0
hsa-mir-1302-2	-1	0	-2	-2	-2	0	-1	1	0	1	-1	1	-2	-1	-1	0	-2	-1	-2	-2	-1	-2	2	1	-1	-2	-2	0	0	0	-1	-1	0	-1	-1	-1	-1	-1	1	-2	1	-1	-2	-1	0	-2	1	1	-1	1	-2	-1	-2	-1	0
OR4F5	-1	0	-2	-2	-2	0	-1	1	0	1	-1	1	-2	-1	-1	0	-2	-1	-2	-2	-1	-2	2	1	-1	-2	-2	0	0	0	-1	-1	0	-1	-1	-1	-1	-1	1	-2	1	-1	-2	-1	0	-2	1	1	-1	1	-2	-1	-2	-1	0
LOC729737	-1	0	-2	-2	1	0	-1	1	0	1	-1	1	-2	-1	-1	0	1	-1	0	-2	-1	-2	2	1	-1	1	-2	0	0	0	1	-1	0	0	2	1	-1	-1	1	1	1	-1	0	-1	0	-2	1	1	1	1	-1	2	-1	-1	0
LOC100132062	1	1	1	1	1	1	-1	1	0	1	0	1	1	0	-1	0	1	1	1	0	1	1	2	1	1	1	0	0	0	0	1	0	-1	0	1	1	0	0	1	0	1	1	0	1	1	1	1	1	1	1	0	2	2	-1	-1
LOC100132287	1	1	1	1	1	1	-1	1	0	1	0	1	1	0	-1	0	1	1	1	0	1	1	2	1	1	1	0	0	0	0	1	0	-1	0	1	1	0	0	1	0	1	1	0	1	1	1	1	1	1	1	0	2	2	-1	-1
LOC100133331	1	1	1	1	1	1	-1	1	0	1	0	1	1	-1	-1	0	1	1	1	0	1	1	2	1	1	1	-1	0	0	0	1	1	0	0	0	1	0	0	2	1	1	1	0	1	1	1	0	0	1	1	0	2	1	-1	-1
