Alteration	Weight
PIK3CA_MUT	1
TP53_MUT	1
NFE2L2_MUT	1
CDKN2A_MUT	1
TPTE_MUT	1
KEAP1_MUT	1
SI_MUT	1
PTEN_MUT	1
TRIM58_MUT	1
OR5L2_MUT	1
LRRC4C_MUT	1
FAM5C_MUT	1
ZBBX_MUT	1
DPPA4_MUT	1
ASB5_MUT	1
PDYN_MUT	1
REG1B_MUT	1
CYP11B1_MUT	1
CRB1_MUT	1
KRTAP5-5_MUT	1
OR6F1_MUT	1
OR2G6_MUT	1
OR2T33_MUT	1
ESRRG_MUT	1
REG3A_MUT	1
USP29_MUT	1
PNLIPRP3_MUT	1
SPHKAP_MUT	1
MAGEB2_MUT	1
CFHR4_MUT	1
OR4M2_MUT	1
OR51B2_MUT	1
CPS1_MUT	1
SLC13A1_MUT	1
ELTD1_MUT	1
TGIF2LX_MUT	1
ASCL4_MUT	1
REG3G_MUT	1
PRIM2_MUT	1
OR2T8_MUT	1
OR10G8_MUT	1
CBLN4_MUT	1
OR4M1_MUT	1
OR2T2_MUT	1
PSG6_MUT	1
ZEB2_MUT	1
C20orf26_MUT	1
CLSTN2_MUT	1
SPANXN1_MUT	1
REG1A_MUT	1
ZNF567_MUT	1
MTNR1B_MUT	1
RB1_MUT	1
OR2A5_MUT	1
PARK2_MUT	1
HS6ST1_MUT	1
ZNF80_MUT	1
RNF144A_MUT	1
TECRL_MUT	1
OR4D5_MUT	1
CALN1_MUT	1
TEX13A_MUT	1
SLC17A8_MUT	1
CLVS2_MUT	1
OR5M9_MUT	1
NUCB2_MUT	1
HIST2H2BE_MUT	1
KCNJ3_MUT	1
HLA-A_MUT	1
OR10A4_MUT	1
POTEG_MUT	1
TRHDE_MUT	1
OR14A16_MUT	1
KIRREL2_MUT	1
SLC6A5_MUT	1
MS4A14_MUT	1
OR6K3_MUT	1
OR8H1_MUT	1
OR2AK2_MUT	1
GBA3_MUT	1
OR5AC2_MUT	1
PYHIN1_MUT	1
TMEM195_MUT	1
FAM5B_MUT	1
SPOPL_MUT	1
CNTNAP4_MUT	1
OR8K5_MUT	1
HRAS_MUT	1
GPC5_MUT	1
GABRA2_MUT	1
DACH2_MUT	1
APOBEC1_MUT	1
OR4N4_MUT	1
TMEM90A_MUT	1
ZFP42_MUT	1
LRRTM3_MUT	1
LEPROT_MUT	1
COL6A6_MUT	1
LIN37_MUT	1
KRTAP10-7_MUT	1
SCN7A_MUT	1
SNAI1_MUT	1
GABRG3_MUT	1
VPS45_CNA	0.5
PLEKHO1_CNA	0.5
REL_CNA	1
NFE2L2_CNA	1
FLJ46066_CNA	1
NMU_CNA	0.5
PDCL2_CNA	0.5
SDHA_CNA	0.0625
SLC9A3_CNA	0.0625
TRIP13_CNA	0.0625
PDCD6_CNA	0.0625
TPPP_CNA	0.0625
EXOC3_CNA	0.0625
PP7080_CNA	0.0625
CEP72_CNA	0.0625
AHRR_CNA	0.0625
BRD9_CNA	0.0625
ZDHHC11_CNA	0.0625
C5orf55_CNA	0.0625
CCDC127_CNA	0.0625
PLEKHG4B_CNA	0.0625
LRRC14B_CNA	0.0625
MIR4456_CNA	0.0625
HCN1_CNA	1
FAM83B_CNA	1
EYS_CNA	1
EGFR_CNA	1
CDK6_CNA	1
WHSC1L1_CNA	1
UNC13B_CNA	0.5
ATP8B5P_CNA	0.5
ANO1_CNA	1
LYZ_CNA	0.333333333333333
YEATS4_CNA	0.333333333333333
FRS2_CNA	0.333333333333333
NINJ2_CNA	0.0909090909090909
KDM5A_CNA	0.0909090909090909
SLC6A12_CNA	0.0909090909090909
SLC6A13_CNA	0.0909090909090909
WNK1_CNA	0.0909090909090909
CCDC77_CNA	0.0909090909090909
B4GALNT3_CNA	0.0909090909090909
IQSEC3_CNA	0.0909090909090909
LOC574538_CNA	0.0909090909090909
FAM138D_CNA	0.0909090909090909
LOC100288778_CNA	0.0909090909090909
ADPRHL1_CNA	1
PAX9_CNA	0.5
SLC25A21_CNA	0.5
CERS3_CNA	1
CDC42EP4_CNA	1
TAF4B_CNA	1
CETN1_CNA	0.142857142857143
TYMS_CNA	0.142857142857143
YES1_CNA	0.142857142857143
CLUL1_CNA	0.142857142857143
ENOSF1_CNA	0.142857142857143
COLEC12_CNA	0.142857142857143
C18orf56_CNA	0.142857142857143
SAMD4B_CNA	1
CCNE1_CNA	1
MIR3193_CNA	1
LOC339593_CNA	1
MAPK1_CNA	1
L1CAM_CNA	1
hsa-mir-942_CNA	0.333333333333333
TTF2_CNA	0.333333333333333
MIR942_CNA	0.333333333333333
LOC284661_CNA	1
LRP1B_CNA	1
KCNJ13_CNA	1
TPO_CNA	0.25
PXDN_CNA	0.25
SNTG2_CNA	0.25
LOC339822_CNA	0.25
hsa-mir-1284_CNA	0.333333333333333
FOXP1_CNA	0.333333333333333
MIR1284_CNA	0.333333333333333
VGLL4_CNA	1
ROBO1_CNA	1
PROS1_CNA	0.5
STX19_CNA	0.5
FAT1_CNA	1
FAM190A_CNA	1
KCNIP4_CNA	0.5
KCNIP4-IT1_CNA	0.5
ANP32C_CNA	0.5
MARCH1_CNA	0.5
hsa-mir-582_CNA	0.333333333333333
PDE4D_CNA	0.333333333333333
PART1_CNA	0.333333333333333
GMDS_CNA	1
NKAIN2_CNA	1
PARK2_CNA	1
hsa-mir-595_CNA	0.5
MIR595_CNA	0.5
AUTS2_CNA	1
CSMD1_CNA	1
CDKN2A_CNA	0.5
C9orf53_CNA	0.5
hsa-mir-1299_CNA	0.0204081632653061
PGM5_CNA	0.0204081632653061
ZNF658_CNA	0.0204081632653061
FAM75A7_CNA	0.0204081632653061
CNTNAP3_CNA	0.0204081632653061
ANKRD20A1_CNA	0.0204081632653061
CBWD5_CNA	0.0204081632653061
LOC286297_CNA	0.0204081632653061
FOXD4L3_CNA	0.0204081632653061
