Model_name	TCGA_Type
HLF	LIHC
TE-7	ESCA
TE-13	ESCA
NCI-ADR-RES	OV
ONCO-DG-1	OV
SNB19	LGG
B2-17	LGG
COLO-320	COAD
Malme-3M	SKCM
M120326_2	SKCM
TE-3	ESCA
TE-2	ESCA
SACC-83	HNSC
Ishikawa	UCEC
LN-464	GBM
HuH-6	LIHC
Hs-944-T	SKCM
MDA-MB-435	SKCM
NCI-H820	LUAD
M120327_3	SKCM
COLO-685	UCEC
KPL-1	BRCA
SNU-869	CHOL
SNU-1196	CHOL
SNU-1066	HNSC
SNU-1197	COAD
SNU-1041	HNSC
M00921	SKCM
M980513	SKCM
SNU-201	GBM
SNU-478	CHOL
SNU-308	CHOL
SNU-245	CHOL
SNU-1079	CHOL
SNU-1076	HNSC
SNU-899	HNSC
SNU-1033	READ
OC-316	OV
FTC-238	THCA
FTC-236	THCA
PC-9	LUAD
MMAc	SKCM
MET-2B	SKCM
LC-1-sq-SF	LUSC
MKN74	STAD
TGBC2TKB	CHOL
SSP-25	CHOL
RERF-LC-AI	LUSC
ZR-75-1	BRCA
SNG-P	UCEC
D-245MG	GBM
Marcus	LGG
RERF-LC-OK	LGG
SCC152	HNSC
MOLM-14	LAML
ML-3	LAML
ML-1	LAML
OVSAYO	OV
GR-M	PAAD
PEO6	OV
PEO4	OV
COLO-794	SKCM
GP2d	COAD
SNU-C4	COAD
KP-3N	PAAD
KP-3L	PAAD
HEL-92-1-7	LAML
HEC-1-A	UCEC
TMH-1	THCA
KNS-81	GBM
PANC-1	PAAD
SF767	CESC
M059K	GBM
NCI-H2073	LUAD
NCI-H660	PRAD
HCT-8	COAD
DLD-1	COAD
HRT-18	COAD
Hs-294-T	SKCM
WM-164	SKCM
PLB-985	LAML
COLO-206F	COAD
COLO-201	COAD
NCOL-1	COAD
GT3TKB	LUSC
SK-BR-3	BRCA
Hep-G2	LIHC
C-4-II	CESC
RPMI-7932	SKCM
1205Lu	SKCM
WM-165-1	SKCM
WM-293A	SKCM
MONO-MAC-1	LAML
SNU-283	READ
RF-1	DLBC
EFM-192C	BRCA
EFM-192B	BRCA
SC-1	DLBC
PL45	PAAD
RERF-LC-MA	LUSC
COLO-818	SKCM
ACCS	BLCA
SW579	THCA
U-138-MG	GBM
U-937	LAML
LS-174T	COAD
RT112-84	BLCA
HEp-2	CESC
A2780ADR	OV
A2780cis	OV
Hey-A8	OV
Hey-C2	OV
MDA-MB-435S	SKCM
HeLaSF	CESC
CMK11-5	LAML
HEC-1-B	UCEC
RKO-E6	COAD
YMB-1	BRCA
HCE-7	ESCA
SNU-1214	HNSC
PA-TU-8988S	PAAD
SNU-503	READ
LN-Z308	LGG
SNU-C2A	COAD
SW480	COAD
Caco-2	COAD
HCMB	SKCM
WM-266-4	SKCM
IGR-39	SKCM
M14	SKCM
MDA-MB-134-VI	BRCA
MCAS	OV
MC-1010	LAML
LIM1215	COAD
KYSE-30	ESCA
NCI-H2286	LUSC
K052	LAML
TE-12	ESCA
UDSCC2	HNSC
SK-NEP-1	KIRC
SCaBER	BLCA
S-117	THCA
OUMS-23	COAD
Ishikawa(Heraklio)02ER-	UCEC
IOSE-75-16SV40	OV
TMK-1	STAD
STS-0421	STAD
PL4	PAAD
PCI-4B	HNSC
PCI-30	HNSC
HSC-39	STAD
H3255	LUAD
HCE-4	ESCA
MZ1-PC	PAAD
PL18	PAAD
201T	LUAD
K5	THCA
IOSE-523(-)	OV
IOSE-397	OV
IOSE-364(-)	OV
HLE	LIHC
Geo	COAD
ECC4	READ
CRO-AP3	DLBC
BOKU	CESC
SK-OV-3	OV
SK-MEL-5	SKCM
SK-MEL-28	SKCM
SK-MEL-2	SKCM
SF295	GBM
SF268	LGG
RXF393	KIRC
PC-3	PRAD
OVCAR-8	OV
OVCAR-5	OV
OVCAR-4	OV
SN12C	KIRC
SNB75	GBM
T47D	BRCA
NCI-H2731	MESO
NCI-H2722	MESO
NCI-H2595	MESO
NCI-H2591	MESO
NCI-H2461	MESO
NCI-H2373	MESO
NCI-H2369	MESO
OVCAR-3	OV
UACC-62	SKCM
UACC-257	SKCM
U251	LGG
U031	KIRC
TK10	KIRC
PCI-6A	HNSC
NCI-H522	LUAD
NCI-H322M	LUAD
HCC2998	COAD
DU-145	PRAD
BT-549	BRCA
ACHN	KIRC
A498	KIRC
786-0	KIRC
K2	SKCM
JHU-011	HNSC
G-MEL	SKCM
CFPAC-1	PAAD
CCF-STTG1	LGG
BxPC-3	PAAD
HOP-62	LUAD
Hs-578-T	BRCA
NCI-H3122	LUAD
NCI-H23	LUAD
NCI-H226	MESO
COLO-792	SKCM
COLO-684	UCEC
MDA-MB-231	BRCA
MCF7	BRCA
LOXIMVI	SKCM
KM12	COAD
IGROV-1	OV
NCI-H2795	MESO
PCI-38	HNSC
BB30-HNC	HNSC
BB49-HNC	HNSC
CP50-MEL-B	SKCM
MZ2-MEL	SKCM
LB996-RCC	KIRC
LB831-BLC	BLCA
LB771-HNC	HNSC
LB373-MEL-D	SKCM
LB2518-MEL	SKCM
LB2241-RCC	KIRC
LB1047-RCC	KIRC
HA7-RCC	KIRC
CP67-MEL	SKCM
CP66-MEL	SKCM
BB65-RCC	KIRC
SNU-81	COAD
SNU-61	READ
D-566MG	GBM
D-542MG	GBM
D-502MG	GBM
D-423MG	GBM
A2780	OV
CAS-1	GBM
FTC-133	THCA
SNU-407	COAD
SNU-175	COAD
SNU-1040	COAD
RO82-W-1	THCA
OC-314	OV
MPP-89	MESO
IST-MES1	MESO
IST-MEL1	SKCM
NCC010	KIRC
NCC021	KIRC
RCC10RGB	KIRC
PC-14	LUAD
OVK-18	OV
OS-RC-2	KIRC
OMC-1	CESC
OCUB-M	BRCA
MKN45	STAD
TE-15	ESCA
TE-4	ESCA
TGBC11TKB	STAD
TGBC1TKB	CHOL
MKN28	STAD
TGBC24TKB	CHOL
PCI-15A	HNSC
MKN1	STAD
MDA-MB-453	BRCA
GCIY	STAD
ETK-1	CHOL
EoL-1-cell	LAML
EC-GI-10	ESCA
ECC12	STAD
ECC10	STAD
CW-2	COAD
CTB-1	DLBC
COLO-679	SKCM
HGC-27	STAD
HMV-II	SKCM
LC-2-ad	LUAD
LC-1F	LUSC
LC-1-sq	LUSC
KP-4	PAAD
JHOS-4	OV
JHOS-3	OV
JHOS-2	OV
NCI-H2803	MESO
NCI-H2804	MESO
NCI-H2810	MESO
YKG-1	GBM
YH-13	GBM
VMRC-RCZ	KIRC
VMRC-RCW	KIRC
VMRC-MELG	SKCM
VMRC-LCD	LUAD
TYK-nu	OV
T-T	ESCA
TK	DLBC
TE-9	ESCA
TE-8	ESCA
TE-6	ESCA
MFM-223	BRCA
MFE-319	UCEC
MFE-296	UCEC
MFE-280	UCEC
MEL-JUSO	SKCM
MEL-HO	SKCM
ME-1	LAML
LXF-289	LUAD
LOU-NH91	LUSC
LN-405	GBM
TE-5	ESCA
TE-11	ESCA
TE-10	ESCA
SAT	HNSC
RMG-I	OV
RERF-LC-Sq1	LUSC
RERF-LC-MS	LUAD
RERF-LC-KJ	LUAD
RERF-GC-1B	STAD
RCM-1	READ
PC-3_[JPC-3]	LUAD
P31-FUJ	LAML
TE-1	ESCA
SUIT-2	PAAD
SNG-M	UCEC
SLVL	DLBC
SKN-3	HNSC
SK-MG-1	LGG
SKM-1	LAML
SKG-IIIa	CESC
SF126	GBM
SCH	STAD
SCC-3	DLBC
MHH-PREB-1	DLBC
SU-DHL-10	DLBC
SK-MEL-30	SKCM
SK-GT-2	STAD
SISO	CESC
SIG-M5	LAML
Set2	LAML
SCC90	HNSC
RVH-421	SKCM
RT-112	BLCA
SU-DHL-16	DLBC
SU-DHL-4	DLBC
SU-DHL-5	DLBC
SU-DHL-6	DLBC
YAPC	PAAD
WSU-NHL	DLBC
WSU-DLCL2	DLBC
VM-CUB-1	BLCA
ROS-50	DLBC
VAL	DLBC
TT2609-C02	THCA
SW1710	BLCA
SU-DHL-8	DLBC
U-698-M	DLBC
OVTOKO	OV
NB4	LAML
MOLM-16	LAML
MOLM-13	LAML
ML-2	LAML
NU-DUL-1	DLBC
OCI-AML2	LAML
RC-K8	DLBC
PL-21	LAML
PA-TU-8988T	PAAD
PA-TU-8902	PAAD
OCI-M1	LAML
OCI-LY7	DLBC
OCI-LY-19	DLBC
OCI-AML5	LAML
OCI-AML3	LAML
OVMIU	OV
OVKATE	OV
QIMR-WIL	LAML
PSN1	PAAD
PEO1	OV
OV-7	OV
OV-56	OV
OV-17R	OV
OE21	ESCA
OAW-42	OV
OAW-28	OV
TT	THCA
EBC-1	LUSC
CCK-81	COAD
CaR-1	READ
Ca9-22	HNSC
Becker	LGG
ASH-3	THCA
AM-38	GBM
ABC-1	LUAD
A3-KAW	DLBC
HTC-C3	THCA
SNU-C5	COAD
22RV1	PRAD
FU97	STAD
MOG-G-UVW	LGG
MIA-PaCa-2	PAAD
COR-L32	LUSC
COR-L105	LUAD
COLO-800	SKCM
MZ7-mel	SKCM
NCI-H3118	HNSC
NCI-H290	MESO
NCI-H2869	MESO
NCI-H2818	MESO
MDST8	COAD
MDA-MB-361	BRCA
MDA-MB-157	BRCA
HuP-T4	PAAD
MOG-G-CCM	LGG
HuP-T3	PAAD
HT-115	COAD
GP5d	COAD
HT55	COAD
D-392MG	GBM
GAK	SKCM
Mewo	SKCM
LK-2	LUSC
