SW837	SW1463	RCM-1	CaR-1	SNU-283	SNU-61
NOTCH2	0	0	0	0.667	-0.5	-0.667
FAM72B	0	0	0	0.667	-0.5	0
HIST2H2BA	0	0	0	0.667	-0.5	0
FCGR1B	0	0	0	0.667	-0.5	0
EMBP1	0	0	0	0.667	-0.5	0
hsa-mir-3118-1	0	0	0	0.667	0	0
hsa-mir-3118-2	0	0	0	0.667	0	0
hsa-mir-3118-3	0	0	0	0.667	0	0
FAM72D	0	0	0	0.667	0	0
PPIAL4G	0	0	0	0.667	0	0
PPIAL4A	0	0	0	0.667	0.5	0.667
PPIAL4B	0	0	0	0.667	0.5	0.667
LOC653513	0	0	0	0.667	0	0
NBPF9	0	0	0	0.667	0	0
PFN1P2	0	0	0	0.667	0	0
PDE4DIP	0	0	0	0.667	0.5	0
SEC22B	0	0	0	0.667	0.5	0
NOTCH2NL	0	0	0	0.667	0.5	0
NBPF10	0	0	0	0.667	0.5	0
HFE2	0	0	0	0.667	0.5	0
TXNIP	0	0	0	0.667	0.5	0
POLR3GL	0	0	0	0.667	0.5	0
ANKRD34A	0	0	0	0.667	0.5	0
LIX1L	0	0	0	0.667	0.5	0
GNRHR2	0	0	0	0.667	0.5	0
ITGA10	0	0	0	0.667	0.5	0
PEX11B	0	0	0	0.667	0.5	0
RBM8A	0	0	0	0.667	0.5	0
ANKRD35	0	0	0	0.667	0.5	0
NUDT17	0	0	0	0.667	0.5	0
PIAS3	0	0	0	0.667	0.5	0
POLR3C	0	0	0	0.667	0.5	0
RNF115	0	0	0	0.667	0.5	0
CD160	0	0	0	0.667	0.5	0
PDZK1	0	0	0	0.667	0.5	0
GPR89A	0	0	0	0.667	0.5	0
GPR89C	0	0	0	0.667	0.5	0.667
PDZK1P1	0	0	0	0.667	0.5	0.667
NBPF11	0	0	0	0.667	0.5	0.667
LOC728989	0	0	0	0.667	0.5	0.667
PRKAB2	0	0	0	0.667	0.5	0.667
FMO5	0	0	0	0.667	0.5	0.667
CHD1L	0	0	0	0.667	0.5	0.667
BCL9	0	0	0	0.667	0.5	0.667
ACP6	0	0	0	0.667	0.5	0.667
GJA5	0	0	0	0.667	0.5	0.667
GJA8	0	0	0	0.667	0.5	0.667
GPR89B	0	0	0	0.667	0.5	0.667
NBPF14	0	0	0	0.667	0.5	0.667
PPIAL4D	0	0	0	0.667	0.5	0.667
NBPF15	0	0	0	0.667	0.5	0.667
NBPF16	0	0	0	0.667	0.5	0.667
PPIAL4E	0	0	0	0.667	0.5	0.667
LOC388692	0	0	0	0.667	0.5	0.667
FCGR1C	0	0	0	0.667	0.5	0.667
HIST2H2BF	0	0	0	0.667	0.5	0.667
FCGR1A	0	0	0	0.667	0.5	0.667
HIST2H3D	0	0	0	0.667	0.5	0.667
HIST2H2AA3	0	0	0	0.667	0.5	0.667
HIST2H3A	0	0	0	0.667	0.5	0.667
HIST2H4A	0	0	0	0.667	0.5	0.667
HIST2H2BC	0	0	0	0.667	0.5	0.667
HIST2H2AB	0	0	0	0.667	0.5	0.667
HIST2H2AC	0	0	0	0.667	0.5	0.667
HIST2H2BE	0	0	0	0.667	0.5	0.667
BOLA1	0	0	0	0.667	0.5	0.667
SV2A	0	0	0	0.667	0.5	0.667
SF3B4	0	0	0	0.667	0.5	0.667
MTMR11	0	0	0	0.667	0.5	0.667
OTUD7B	0	0	0	0.667	0.5	0.667
VPS45	0	0	0	0.667	0.5	0.667
PLEKHO1	0	0	0	0.667	0.5	0.667
ANP32E	0	0	0	0.667	0.5	0.667
CA14	0	0	0	0.667	0.5	0.667
APH1A	0	0	0	0.667	0.5	0.667
C1orf54	0	0	0	0.667	0.5	0.667
MRPS21	0	0	0	0.667	0.5	0.667
PRPF3	0	0	0	0.667	0.5	0.667
RPRD2	0	0	0	0.667	0.5	0.667
TARS2	0	0	0	0.667	0.5	0.667
ECM1	0	0	0	0.667	0.5	0.667
ADAMTSL4	0	0	0	0.667	0.5	0.667
MIR4257	0	0	0	0.667	0.5	0.667
MCL1	0	0	0	0.667	0.5	0.667
ENSA	0	0	0	0.667	0.5	0.667
GOLPH3L	0	0	0	0.667	0.5	0.667
HORMAD1	0	0	0	0.667	0.5	0.667
CTSS	0	0	0	0.667	0.5	0.667
CTSK	0	0	0	0.667	0.5	0.667
ARNT	0	0	0	0.667	0.5	0.667
SETDB1	0	0	0	0.667	0.5	0.667
CERS2	0	0	0	0.667	0.5	0.667
ANXA9	0	0	0	0.667	0.5	0.667
FAM63A	0	0	0	0.667	0.5	0.667
PRUNE	0	0	0	0.667	0.5	0.667
BNIPL	0	0	0	0.667	0.5	0.667
C1orf56	0	0	0	0.667	0.5	0.667
CDC42SE1	0	0	0	0.667	0.5	0.667
MLLT11	0	0	0	0.667	0.5	0.667
GABPB2	0	0	0	0.667	0.5	0.667
SEMA6C	0	0	0	0.667	0.5	0.667
LYSMD1	0	0	0	0.667	0.5	0.667
SCNM1	0	0	0	0.667	0.5	0.667
TMOD4	0	0	0	0.667	0.5	0.667
TNFAIP8L2-SCNM1	0	0	0	0.667	0.5	0.667
TNFAIP8L2	0	0	0	0.667	0.5	0.667
VPS72	0	0	0	0.667	0.5	0.667
PIP5K1A	0	0	0	0.667	0.5	0.667
PSMD4	0	0	0	0.667	0.5	0.667
ZNF687	0	0	0	0.667	0.5	0.667
PI4KB	0	0	0	0.667	0.5	0.667
RFX5	0	0	0	0.667	0.5	0.667
SELENBP1	0	0	0	0.667	0.5	0.667
POGZ	0	0	0	0.667	0.5	0.667
PSMB4	0	0	0	0.667	0.5	0.667
CGN	0	0	0	0.667	0.5	0.667
TUFT1	0	0	0	0.667	0.5	0.667
MIR554	0	0	0	0.667	0.5	0.667
SNX27	0	0	0	0.667	0.5	0.667
CELF3	0	0	0	0.667	0.5	0.667
RIIAD1	0	0	0	0.667	0.5	0.667
MRPL9	0	0	0	0.667	0.5	0.667
OAZ3	0	0	0	0.667	0.5	0.667
TDRKH	0	0	0	0.667	0.5	0.667
LINGO4	0	0	0	0.667	0.5	0.667
RORC	0	0	0	0.667	0.5	0.667
