Gene	CNA_Weight
PIK3C2B 	0.1
ADSS 	0.1
PVRL4 	0.05
ARHGAP30 	0.05
NFE2L2 	0.1
BDH1 	0.1
FGFR3 	0.1
ANKRD17 	0.1
TERT 	0.1
F12 	0.03333333
SLC34A1 	0.03333333
PFN3 	0.03333333
RP1-60O19.1 	0.1
EGFR 	0.1
CDK6 	0.1
HEATR2 	0.1
PTPRN2 	0.05
MIR595 	0.05
MET 	0.1
WHSC1L1 	0.1
SPATC1 	0.1
TPM2 	0.1
CD274 	0.03333333
PLGRKT 	0.03333333
PDCD1LG2 	0.03333333
SSNA1 	0.01
TUBB4B 	0.01
NDOR1 	0.01
TMEM203 	0.01
SLC34A3 	0.01
TPRN 	0.01
C9orf169 	0.01
FAM166A 	0.01
RNF224 	0.01
RNF208 	0.01
ZNF503-AS1 	0.1
FGFR2 	0.1
CCND1 	0.1
INTS4 	0.1
TMEM123 	0.1
CD44 	0.1
KDM2A 	0.1
SHANK2 	0.1
MDM2 	0.1
CDK4 	0.1
KRAS 	0.1
NINJ2 	0.009090909
KDM5A 	0.009090909
SLC6A12 	0.009090909
SLC6A13 	0.009090909
WNK1 	0.009090909
CCDC77 	0.009090909
B4GALNT3 	0.009090909
IQSEC3 	0.009090909
RP11-598F7.4 	0.009090909
FAM138D 	0.009090909
LOC100288778 	0.009090909
HMGA2 	0.1
GRTP1 	0.1
NKX2-1 	0.03333333
SFTA3 	0.03333333
NKX2-1-AS1 	0.03333333
AKT1 	0.1
IGF1R 	0.1
ERBB2 	0.1
TUBD1 	0.1
MYO15B 	0.1
FLOT2 	0.1
CCNE1 	0.1
SAMD4B 	0.1
BRD4 	0.1
ZNF274 	0.1
PDE4A 	0.1
FXYD5 	0.1
RP4-724E16.2 	0.1
hsa-mir-941-3 	0.002631579
NPBWR2 	0.002631579
MYT1 	0.002631579
OPRL1 	0.002631579
TCEA2 	0.002631579
TPD52L2 	0.002631579
TNFRSF6B 	0.002631579
ARFRP1 	0.002631579
RGS19 	0.002631579
PRPF6 	0.002631579
GMEB2 	0.002631579
STMN3 	0.002631579
RTEL1 	0.002631579
SOX18 	0.002631579
LIME1 	0.002631579
UCKL1 	0.002631579
PCMTD2 	0.002631579
SLC2A4RG 	0.002631579
ZNF512B 	0.002631579
DNAJC5 	0.002631579
ZGPAT 	0.002631579
HELZ2 	0.002631579
ZBTB46 	0.002631579
SAMD10 	0.002631579
ABHD16B 	0.002631579
LINC00266-1 	0.002631579
LKAAEAR1 	0.002631579
LINC00176 	0.002631579
MIR647 	0.002631579
UCKL1-AS1 	0.002631579
MIR941-1 	0.002631579
MIR941-4 	0.002631579
MIR941-2 	0.002631579
MIR941-3 	0.002631579
MIR1914 	0.002631579
RTEL1-TNFRSF6B 	0.002631579
LOC101928604 	0.002631579
MIR6813 	0.002631579
hsa-mir-649 	0.001123596
ARVCF 	0.001123596
COMT 	0.001123596
CRKL 	0.001123596
GGT3P 	0.001123596
GP1BB 	0.001123596
GSC2 	0.001123596
SERPIND1 	0.001123596
PI4KA 	0.001123596
SEPT5 	0.001123596
PRODH 	0.001123596
RANBP1 	0.001123596
SLC7A4 	0.001123596
SLC25A1 	0.001123596
TBX1 	0.001123596
CLDN5 	0.001123596
HIRA 	0.001123596
UBE2L3 	0.001123596
UFD1L 	0.001123596
ZNF74 	0.001123596
DGCR6 	0.001123596
LZTR1 	0.001123596
CLTCL1 	0.001123596
DGCR14 	0.001123596
CDC45 	0.001123596
P2RX6 	0.001123596
SNAP29 	0.001123596
DGCR2 	0.001123596
TXNRD2 	0.001123596
USP18 	0.001123596
HIC2 	0.001123596
TSSK2 	0.001123596
SDF2L1 	0.001123596
PPIL2 	0.001123596
DGCR11 	0.001123596
DGCR9 	0.001123596
DGCR5 	0.001123596
DGCR10 	0.001123596
TRMT2A 	0.001123596
POM121L8P 	0.001123596
YPEL1 	0.001123596
ZDHHC8 	0.001123596
MED15 	0.001123596
TUBA8 	0.001123596
DGCR8 	0.001123596
GNB1L 	0.001123596
MRPL40 	0.001123596
RTN4R 	0.001123596
C22orf29 	0.001123596
THAP7 	0.001123596
TMEM191A 	0.001123596
KLHL22 	0.001123596
DGCR6L 	0.001123596
RIMBP3 	0.001123596
SCARF2 	0.001123596
TUBA3FP 	0.001123596
C22orf39 	0.001123596
TANGO2 	0.001123596
LINC00895 	0.001123596
LINC00896 	0.001123596
AIFM3 	0.001123596
RIMBP3C 	0.001123596
YDJC 	0.001123596
CCDC116 	0.001123596
POM121L4P 	0.001123596
LOC284865 	0.001123596
PI4KAP2 	0.001123596
LOC388849 	0.001123596
LOC400891 	0.001123596
BCRP2 	0.001123596
MIR130B 	0.001123596
MIR185 	0.001123596
THAP7-AS1 	0.001123596
P2RX6P 	0.001123596
RIMBP3B 	0.001123596
FAM230B 	0.001123596
TMEM191C 	0.001123596
TMEM191B 	0.001123596
PI4KAP1 	0.001123596
LOC729444 	0.001123596
MIR301B 	0.001123596
MIR1286 	0.001123596
MIR1306 	0.001123596
MIR3618 	0.001123596
SEPT5-GP1BB 	0.001123596
MIR4761 	0.001123596
LOC100652736 	0.001123596
LOC101928891 	0.001123596
MIR6816 	0.001123596
HCFC1 	0.02
RENBP 	0.02
NAA10 	0.02
TMEM187 	0.02
HCFC1-AS1 	0.02
ERRFI1 	0.1
LOC643441 	0.1
ARID1A 	0.05
PIGV 	0.05
NEGR1 	0.05
NEGR1-IT1 	0.05
AHCTF1 	0.01428571
SCCPDH 	0.01428571
TFB2M 	0.01428571
SMYD3 	0.01428571
LOC149134 	0.01428571
CNST 	0.01428571
RP11-690C23.2 	0.01428571
LRP1B 	0.1
HDLBP 	0.03333333
SEPT2 	0.03333333
FARP2 	0.03333333
ACP1 	0.025
SH3YL1 	0.025
FAM150B 	0.025
FAM110C 	0.025
ERBB4 	0.05
MIR548F2 	0.05
LYPD1 	0.025
NCKAP5 	0.025
AC010890.1 	0.025
MIR7853 	0.025
FHIT 	0.1
CHL1 	0.01428571
CNTN6 	0.01428571
CNTN4 	0.01428571
CNTN4-AS2 	0.01428571
AC011609.3 	0.01428571
AC090044.1 	0.01428571
AY269186.1 	0.01428571
NAALADL2 	0.025
MIR4789 	0.025
NAALADL2-AS3 	0.025
MIR548AY 	0.025
FOXP1 	0.1
TUSC7 	0.1
ARIH2 	0.03333333
P4HTM 	0.03333333
ARIH2OS 	0.03333333
CADM2 	0.03333333
MIR5688 	0.03333333
CADM2-AS2 	0.03333333
LINC00290 	0.1
CCSER1 	0.1
hsa-mir-571 	0.004545455
ATP5I 	0.004545455
DGKQ 	0.004545455
GAK 	0.004545455
IDUA 	0.004545455
MYL5 	0.004545455
PDE6B 	0.004545455
ZNF141 	0.004545455
PCGF3 	0.004545455
CPLX1 	0.004545455
SLC26A1 	0.004545455
FGFRL1 	0.004545455
PIGG 	0.004545455
ABCA11P 	0.004545455
MFSD7 	0.004545455
TMEM175 	0.004545455
ZNF595 	0.004545455
ZNF721 	0.004545455
ZNF718 	0.004545455
ZNF876P 	0.004545455
ZNF732 	0.004545455
LOC100129917 	0.004545455
FAT1 	0.1
LRBA 	0.025
RPS3A 	0.025
SNORD73A 	0.025
MAB21L2 	0.025
hsa-mir-582 	0.03333333
PDE4D 	0.03333333
PART1 	0.03333333
ANKRD32 	0.05
KIAA0825 	0.05
CTB-7E3.1 	0.1
AP3S1 	0.025
COMMD10 	0.025
AQPEP 	0.025
ARL14EPL 	0.025
PARK2 	0.05
PACRG 	0.05
GMDS 	0.05
GMDS-AS1 	0.05
TSG1 	0.1
LRRN3 	0.05
IMMP2L 	0.05
KMT2C 	0.05
FABP5P3 	0.05
SUN1 	0.1
CSMD1 	0.1
PPP2R2A 	0.1
FNTA 	0.025
POMK 	0.025
HGSNAT 	0.025
POTEA 	0.025
CDKN2A 	0.004166667
CDKN2B 	0.004166667
IFNA1 	0.004166667
IFNA2 	0.004166667
IFNA4 	0.004166667
IFNA5 	0.004166667
IFNA6 	0.004166667
IFNA7 	0.004166667
IFNA8 	0.004166667
IFNA10 	0.004166667
IFNA13 	0.004166667
IFNA14 	0.004166667
IFNA16 	0.004166667
IFNA17 	0.004166667
IFNA22P 	0.004166667
MTAP 	0.004166667
C9orf53 	0.004166667
KLHL9 	0.004166667
DMRTA1 	0.004166667
IFNE 	0.004166667
MIR31 	0.004166667
LINC01239 	0.004166667
MIR31HG 	0.004166667
CDKN2B-AS1 	0.004166667
PTPRD 	0.05
PTPRD-AS2 	0.05
hsa-mir-1299 	0.002
PGM5 	0.002
ZNF658 	0.002
SPATA31A7 	0.002
CNTNAP3 	0.002
ANKRD20A1 	0.002
CBWD5 	0.002
RP11-381O7.3 	0.002
FOXD4L3 	0.002
AQP7P1 	0.002
KGFLP1 	0.002
SPATA31A6 	0.002
GLIDR 	0.002
FAM74A1 	0.002
ZNF658B 	0.002
BX255923.3 	0.002
ANKRD20A3 	0.002
ANKRD20A2 	0.002
AQP7P3 	0.002
PTGER4P2-CDK2AP2P2 	0.002
CBWD3 	0.002
FAM27A 	0.002
PGM5-AS1 	0.002
PGM5P2 	0.002
LOC642236 	0.002
SPATA31A2 	0.002
SPATA31A4 	0.002
RP11-327I22.6 	0.002
LINC01189 	0.002
CBWD6 	0.002
SPATA31A1 	0.002
FAM74A2 	0.002
FOXD4L6 	0.002
FOXD4L5 	0.002
LOC653501 	0.002
KGFLP2 	0.002
SPATA31A3 	0.002
SPATA31A5 	0.002
FAM74A3 	0.002
CNTNAP3B 	0.002
ANKRD20A4 	0.002
FOXD4L2 	0.002
FAM27E3 	0.002
LOC100132352 	0.002
FAM27C 	0.002
FAM95B1 	0.002
FAM27B 	0.002
LOC100133920 	0.002
FAM27E1 	0.002
FAM27E2 	0.002
C9orf62 	0.05
PPP1R26-AS1 	0.05
LINGO2 	0.03333333
MIR876 	0.03333333
MIR873 	0.03333333
DMRT1 	0.025
DMRT2 	0.025
DMRT3 	0.025
LINC01230 	0.025
PTEN 	0.05
KLLN 	0.05
PAOX 	0.1
ZMYND11 	0.02
DIP2C 	0.02
TUBB8 	0.02
PRR26 	0.02
MIR5699 	0.02
PRKG1 	0.025
CSTF2T 	0.025
MIR605 	0.025
PRKG1-AS1 	0.025
ACAD8 	0.02
B3GAT1 	0.02
GLB1L2 	0.02
GLB1L3 	0.02
LOC283177 	0.02
PSMD13 	0.005
IFITM1 	0.005
IFITM3 	0.005
IFITM2 	0.005
PKP3 	0.005
SIRT3 	0.005
BET1L 	0.005
SIGIRR 	0.005
RIC8A 	0.005
ATHL1 	0.005
PTDSS2 	0.005
ODF3 	0.005
SCGB1C1 	0.005
NLRP6 	0.005
ANO9 	0.005
B4GALNT4 	0.005
IFITM5 	0.005
LOC653486 	0.005
LINC01001 	0.005
MIR6743 	0.005
HTR3A 	0.1
DLG2 	0.05
TMEM126B 	0.05
GOLGA3 	0.005263158
POLE 	0.005263158
PXMP2 	0.005263158
ZNF10 	0.005263158
ZNF26 	0.005263158
ZNF84 	0.005263158
ZNF140 	0.005263158
ZNF268 	0.005263158
P2RX2 	0.005263158
ANKLE2 	0.005263158
CHFR 	0.005263158
FBRSL1 	0.005263158
PGAM5 	0.005263158
ANHX 	0.005263158
ZNF605 	0.005263158
LRCOL1 	0.005263158
ZNF891 	0.005263158
RP11-386I8.6 	0.005263158
MIR6763 	0.005263158
CDKN1B 	0.05
APOLD1 	0.05
APAF1 	0.025
ANKS1B 	0.025
FAM71C 	0.025
RP11-406H4.1 	0.025
ARID2 	0.05
LINC00938 	0.05
RB1 	0.03333333
LPAR6 	0.03333333
LINC00441 	0.03333333
LINC00442 	0.1
CDC16 	0.03333333
UPF3A 	0.03333333
CHAMP1 	0.03333333
GPHN 	0.1
TRAF3 	0.1
DAD1 	0.025
OR10G2 	0.025
OR4E2 	0.025
ABHD4 	0.025
MGA 	0.05
MIR626 	0.05
APBA2 	0.003703704
OCA2 	0.003703704
TJP1 	0.003703704
HERC2 	0.003703704
FAM189A1 	0.003703704
DKFZP434L187 	0.003703704
NDNL2 	0.003703704
CHRFAM7A 	0.003703704
ULK4P3 	0.003703704
ULK4P1 	0.003703704
ARHGAP11B 	0.003703704
GOLGA8G 	0.003703704
HERC2P10 	0.003703704
HERC2P9 	0.003703704
WHAMMP2 	0.003703704
