Sample_ID	Category
AU565_BREAST	Great
BT20_BREAST	Great
BT474_BREAST	Great
BT483_BREAST	Great
BT549_BREAST	Great
CAL120_BREAST	Great
CAL851_BREAST	Great
EFM192A_BREAST	Great
HCC1143_BREAST	Great
HCC1187_BREAST	Great
HCC1419_BREAST	Great
HCC1428_BREAST	Great
HCC1599_BREAST	Great
HCC1954_BREAST	Great
HCC202_BREAST	Great
HCC2157_BREAST	Great
HCC38_BREAST	Great
HCC70_BREAST	Great
HS578T_BREAST	Great
JIMT1_BREAST	Great
KPL1_BREAST	Great
MCF7_BREAST	Great
MDAMB415_BREAST	Great
MDAMB468_BREAST	Great
SKBR3_BREAST	Great
T47D_BREAST	Great
UACC893_BREAST	Great
ZR751_BREAST	Great
CAL148_BREAST	Good
CAMA1_BREAST	Good
EFM19_BREAST	Good
EVSAT_BREAST	Good
HCC1395_BREAST	Good
HCC1500_BREAST	Good
HCC1569_BREAST	Good
HCC1806_BREAST	Good
HCC2218_BREAST	Good
HMC18_BREAST	Good
MDAMB134VI_BREAST	Good
MDAMB231_BREAST	Good
MDAMB361_BREAST	Good
MDAMB436_BREAST	Good
MDAMB453_BREAST	Good
UACC812_BREAST	Good
ZR7530_BREAST	Good
DU4475_BREAST	Moderately Good
CAL51_BREAST	Poor
HS281T_BREAST	Poor
HS343T_BREAST	Poor
HS742T_BREAST	Poor
HS739T_BREAST	Outlier
