""	"OVK.18"	"OVTOKO"	"OC.314"	"OV.17R"	"Hey"	"IGROV.1"	"EFO.21"	"TYK.nu"	"EFO.27"	"TOV.21G"	"OAW.28"	"OVCA433"	"OV.56"	"OVCAR.8"	"KURAMOCHI"	"FU.OV.1"	"JHOS.4"	"PA.1"	"OV.7"	"A2780"	"KGN"	"ES.2"	"JHOS.2"	"OVISE"	"OVKATE"	"PEO1"	"Caov.3"	"SK.OV.3"	"JHOS.3"	"OVMIU"	"OVCA420"	"RMG.I"	"SW626"	"Caov.4"	"RKN"	"OAW.42"	"DOV13"	"OV.90"	"UWB1_289"	"OVCAR.5"	"OVCAR.3"	"TOV.112D"	"OVCAR.4"
"BRAF"	0	1	0	0	1	0	1	1	1	0	0	0	1	1	1	1	1	0	0	0	1	0	1	0	1	0	1	1	0	1	1	1	0	0	0	0	1	0	0	0	1	0	0
"B2M"	1	0	0	0	0	1	1	1	0	0	0	1	1	1	1	0	1	1	1	0	0	1	1	0	0	0	0	1	1	1	0	1	1	0	1	1	0	0	1	1	1	0	0
"USP34"	0	0	0	0	0	1	0	1	0	1	1	0	0	1	1	1	0	0	0	1	0	0	0	1	0	1	1	0	1	1	1	1	0	0	0	0	1	0	0	1	0	1	1
"DNAH10"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	1	1	1	0	1	1	0	0	0	1	0	1	1	1	1	0	0	0	0	1	0	0	0	1	0	0
"SI"	1	0	1	0	0	1	1	1	0	1	1	0	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	1	0	1	1	0	1	1	1	0	1	1	0
"CEP290"	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	1	1	1	1	1	1	1	0	0	1	1	0	1	1	0	1	1	1	0	0	0
"MYH4"	0	1	1	0	0	1	1	1	0	0	0	0	1	0	1	0	1	1	1	1	1	0	0	1	0	0	1	0	1	1	1	1	1	0	1	0	0	0	1	1	1	1	1
"RELN"	1	0	0	1	0	0	0	1	0	1	0	1	0	1	0	0	0	1	1	0	0	1	0	1	1	1	1	0	1	0	0	0	0	1	0	1	0	0	1	0	0	1	1
"CDH9"	0	1	1	0	0	1	1	0	1	1	0	0	1	0	0	1	0	0	1	0	1	1	0	0	1	0	0	1	0	1	1	1	0	1	0	0	1	0	1	1	1	0	1
"PCDHB8"	0	1	1	0	1	1	0	1	1	1	1	1	0	1	0	1	0	1	1	0	0	1	1	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	1	0	0	1
"ANKRD30A"	1	0	0	0	1	0	1	1	0	1	0	0	0	1	0	0	1	1	1	0	0	0	1	0	0	1	0	1	1	0	0	1	0	1	0	1	1	1	1	1	0	1	1
"PKHD1"	1	0	1	1	1	0	0	1	0	0	1	1	1	1	1	0	1	1	1	0	1	1	0	1	0	0	1	1	0	0	1	1	1	0	1	0	0	0	1	0	1	1	1
"XIRP2"	0	1	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	1	1	0	1	0	1	0	0	1	0	1	1	0	0	1	1	0	0	0	1	1	0	0	1	0	1
"PTPRZ1"	0	0	1	0	1	1	0	0	0	0	0	1	1	1	1	0	0	1	1	1	1	0	0	0	1	1	1	0	0	1	1	1	1	1	1	0	0	1	1	0	0	1	1
"LAMA3"	1	1	1	0	0	1	1	1	0	0	1	0	1	1	0	0	0	1	1	1	1	0	1	1	0	0	0	1	1	0	0	1	0	1	1	1	1	0	0	0	1	0	1
"LAMA2"	0	1	1	0	1	1	1	0	1	1	0	0	0	1	0	1	1	1	1	1	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0
"NIPBL"	1	0	1	1	1	1	0	1	0	0	0	0	1	1	0	1	0	1	1	0	1	0	1	0	1	1	1	1	0	0	1	0	1	0	1	1	1	1	0	0	1	0	0
"ANK3"	0	1	1	1	1	1	1	0	0	1	0	0	0	0	1	1	0	0	0	1	1	0	1	1	1	0	0	0	1	1	0	1	0	1	1	1	1	0	0	0	1	1	0
"MYH3"	0	0	0	1	0	0	0	1	0	1	1	1	1	1	0	0	0	1	0	1	1	0	1	0	0	1	1	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1	1
"SMARCA4"	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	0	0	1	1	0	0	0	1	1	1	1	0	0	1	1	0	1	1	0	1	1	1	1	0	1	0	0	0
"ACVR2A"	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	1	1	0	1	1	1	1	0	1	1	0	0	1	1	0	1	1	1	1	1	0	1	1	1	0	1	1	0
"PKHD1L1"	1	1	1	0	0	1	1	1	0	0	1	1	1	1	1	1	0	0	0	1	1	0	0	1	0	1	1	1	0	0	1	0	1	0	1	0	1	1	1	0	0	0	1
"SF3B1"	0	1	1	1	0	0	0	0	0	0	1	1	1	1	0	1	1	0	0	1	1	1	1	0	1	0	1	0	1	1	1	1	1	0	1	1	0	0	0	1	1	1	1
"ATM"	1	1	0	0	0	0	0	1	0	1	1	1	1	0	0	1	1	1	1	1	1	0	1	0	1	1	0	0	1	1	1	0	0	1	0	1	1	1	0	0	1	0	1
"MYH8"	0	0	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0
"FREM2"	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	0	1	1	0	0	0	0	1	0	0	1	1	0	0	0	0	1	1	0	1	0	0	0	0	0	1	1	1
"CFH"	0	0	1	0	1	1	1	0	0	1	1	0	0	1	1	1	1	1	1	1	0	0	1	1	1	0	0	1	0	0	0	0	0	1	1	0	1	0	1	1	1	1	1
"BAP1"	1	0	1	1	1	0	0	0	1	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	1	0	1	1	0	0	0	1	1	1	0	0	1	0	1	0	0	0	1
"USH2A"	0	1	0	0	1	1	1	1	0	1	1	0	0	1	1	1	0	1	0	1	0	0	1	0	1	1	1	0	0	1	1	1	0	0	0	0	1	1	1	0	0	0	0
"DNAH2"	1	0	0	0	1	0	0	0	0	1	1	0	1	1	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	1
"THSD7A"	0	0	1	0	1	1	0	1	1	0	1	0	1	1	1	1	0	0	1	1	0	0	1	1	1	1	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	1	1
"APOB"	0	1	0	0	1	0	0	0	0	1	0	1	1	0	1	0	0	1	0	0	1	0	0	1	1	0	1	1	1	0	1	0	0	0	1	0	1	1	1	0	0	1	1
"FLNC"	0	1	0	0	1	1	1	1	0	0	0	1	1	0	1	0	1	1	1	1	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	0	1	0	1	0
"NOTCH1"	1	1	1	0	1	1	1	1	0	1	1	0	1	1	1	1	0	1	0	1	1	0	0	1	0	1	1	1	0	1	0	0	1	1	1	0	0	1	0	1	1	1	0
"FBXW7"	0	1	1	0	0	1	1	0	0	0	0	1	1	1	1	0	1	1	0	1	1	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	1	1	1	0	1	0	1
"OBSCN"	1	1	1	1	0	0	0	1	0	0	0	0	1	1	1	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	1	0	0	0	0	1	1	1	0	0	1	0
"SPTA1"	0	1	1	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	0	1	1	0	0	1	1	1	1	0	0	1	1	1	0	0
"MYO7B"	0	1	1	0	0	0	1	1	1	0	1	0	0	1	1	1	0	0	0	1	1	1	0	1	1	0	1	1	1	0	0	1	1	0	0	1	0	1	0	1	0	1	0
"DNAH8"	0	0	0	1	1	0	0	1	1	1	1	1	0	0	1	0	0	1	0	0	1	1	0	1	0	1	1	0	1	0	0	1	0	1	1	1	1	0	0	1	0	1	0
"MUC5B"	0	0	1	0	1	0	1	0	1	1	1	1	1	1	0	1	1	1	1	0	0	0	1	1	1	1	1	0	1	0	0	0	1	0	0	1	1	1	1	0	1	0	1
"DYNC2H1"	0	0	1	1	1	0	0	1	1	1	0	1	0	0	1	1	0	0	1	0	0	1	0	0	1	0	0	0	1	0	1	0	0	1	0	0	1	1	0	0	1	0	1
"CD163L1"	1	1	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	1	1	0	0	1	0	1	0	0	1	0	0	1	0	1	1	1	0	1	1	0	0	0	0
"CUBN"	1	0	0	1	0	1	0	0	0	0	1	1	0	0	1	1	1	1	1	0	1	1	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0
"POLR2A"	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	1	1	1	1	0	1	1	1	0	1	0	1	0	1	0	1	0	1	1	1	0
"SLIT2"	1	0	1	0	0	0	1	1	0	0	1	1	1	0	1	1	1	0	1	1	0	1	1	0	1	0	1	1	0	1	0	1	1	1	0	1	1	0	0	0	1	1	1
"RNF43"	0	0	1	1	0	1	1	1	1	1	0	1	1	1	1	0	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	1	1	1	1	0	1	1	0	0	0	0
"FLG"	1	0	0	0	0	0	0	1	1	0	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	0	0	1	0	1	1	1	1	1	0	1	1	0	1	1	1	1
"KIF21A"	1	0	0	1	1	0	0	1	1	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	1	1	0	1	1	1	1	0
"LRP1B"	0	1	1	1	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	0
"CACNA1A"	0	0	0	0	0	1	1	1	0	0	0	1	1	0	0	0	0	1	1	1	0	0	1	0	1	1	1	1	0	0	1	1	0	0	1	1	1	0	0	0	0	0	0
"ADAMTS16"	1	0	0	1	0	1	1	0	1	1	1	1	0	1	0	1	1	0	1	1	1	1	1	0	0	1	0	1	1	1	0	0	0	1	1	1	1	1	1	0	1	0	1
"ATP8B4"	0	0	1	0	1	1	1	0	0	0	1	1	0	1	0	0	1	1	0	0	0	1	1	0	1	1	1	1	1	0	1	1	0	0	0	0	1	0	0	1	0	0	0
"TP53"	1	0	0	1	0	1	0	1	0	1	0	1	1	0	0	1	0	1	1	0	0	1	0	1	1	1	1	0	0	1	1	0	0	0	0	0	0	0	1	1	0	1	1
"ADAMTS12"	0	0	0	0	1	1	0	0	0	1	1	0	1	0	1	0	1	0	1	1	1	0	0	1	0	0	1	0	1	0	1	0	0	1	1	1	0	1	0	1	1	0	1
