""	"OVK.18"	"OVTOKO"	"OC.314"	"OV.17R"	"Hey"	"IGROV.1"	"EFO.21"	"TYK.nu"	"EFO.27"	"TOV.21G"	"OAW.28"	"OVCA433"	"OV.56"	"OVCAR.8"	"KURAMOCHI"	"FU.OV.1"	"JHOS.4"	"PA.1"	"OV.7"	"A2780"	"KGN"	"ES.2"	"JHOS.2"	"OVISE"	"OVKATE"	"PEO1"	"Caov.3"	"SK.OV.3"	"JHOS.3"	"OVMIU"	"OVCA420"	"RMG.I"	"SW626"	"Caov.4"	"RKN"	"OAW.42"	"DOV13"	"OV.90"	"UWB1_289"	"OVCAR.5"	"OVCAR.3"	"TOV.112D"	"OVCAR.4"
"BRAF"	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	1	0	0	0	0	1	1	0	1	1	1	1	0	0	1	0	1	1	1
"B2M"	1	1	0	1	0	0	0	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	1	1	0	1	1	0	1	0	0	1	1	1	1
"USP34"	0	0	0	0	1	0	1	0	1	1	0	1	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	1	1	0	1	1	0	0
"DNAH10"	1	0	0	1	0	0	1	0	0	0	0	0	1	0	1	1	1	0	1	0	1	1	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	0	0	1	1	1	0
"SI"	1	0	0	0	0	0	1	1	0	0	0	1	1	1	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	1	1	0	1	1	0	0	0	1	0	1	0	0	0
"CEP290"	1	1	1	1	0	1	1	1	1	0	0	1	0	0	1	0	1	1	0	1	0	1	0	1	0	1	1	0	1	1	0	1	0	0	0	1	0	0	0	0	1	0	0
"MYH4"	0	0	1	1	1	1	0	0	0	0	1	0	1	0	1	0	1	0	1	1	0	0	1	1	0	0	1	1	0	1	1	0	1	0	1	1	1	1	0	0	1	0	0
"RELN"	1	1	1	1	0	1	0	1	1	0	0	0	1	0	0	0	1	1	1	0	1	1	0	1	1	1	1	0	1	0	0	1	1	0	0	0	1	0	0	0	0	1	0
"CDH9"	1	0	1	1	0	0	1	1	0	0	1	1	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	1	1	0
"PCDHB8"	0	0	1	1	1	1	0	1	0	1	1	1	1	1	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	1	1	1	1	1	0	0	0	1	0	0	0	1	1
"ANKRD30A"	1	0	1	0	1	1	0	1	0	0	0	1	1	0	1	0	0	0	1	1	0	1	0	0	1	1	0	0	0	0	1	0	1	1	1	1	0	1	1	1	0	0	1
"PKHD1"	0	0	1	1	0	1	1	0	0	0	1	1	1	1	0	0	0	1	1	1	1	1	1	0	1	0	0	0	0	1	0	1	0	0	1	0	1	1	1	0	1	1	1
"XIRP2"	0	1	1	1	1	0	0	1	1	1	1	0	0	1	0	0	1	0	0	0	0	1	0	0	1	1	1	0	1	0	0	1	1	0	1	1	1	1	0	0	1	0	0
"PTPRZ1"	0	1	0	1	1	1	1	1	0	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	1	1	1	0	1	0	0	1	1	0	0
"LAMA3"	1	1	1	1	1	0	0	0	1	1	0	0	1	1	1	1	0	1	0	0	1	1	0	0	0	0	1	1	1	1	0	1	1	1	0	1	1	1	0	0	0	1	1
"LAMA2"	1	0	0	1	1	1	0	0	1	1	0	0	0	1	1	0	1	1	1	1	0	1	1	1	1	0	1	0	1	0	0	0	1	0	1	1	1	0	1	0	1	1	1
"NIPBL"	1	1	1	1	0	1	1	1	0	0	0	1	0	0	1	0	0	1	0	0	0	1	1	1	1	1	0	0	1	0	1	1	0	0	0	0	0	0	0	1	1	0	0
"ANK3"	1	0	0	0	0	1	1	0	1	1	0	1	0	1	0	1	1	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	0	0
"MYH3"	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	1	0	0	0	1	0
"SMARCA4"	1	0	0	1	1	0	1	1	0	0	0	0	0	1	1	0	1	1	0	0	1	0	0	0	1	1	1	0	0	0	1	0	1	0	0	1	1	1	1	1	0	0	0
"ACVR2A"	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	1	1
"PKHD1L1"	1	0	1	1	0	0	0	1	0	1	0	0	1	1	0	1	0	0	0	1	0	1	0	0	1	0	0	1	1	0	1	0	1	0	0	0	0	0	1	1	1	0	0
"SF3B1"	0	1	1	0	0	1	0	1	0	1	1	0	1	0	1	0	0	1	0	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	1
"ATM"	0	1	0	1	1	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	1	1	1	0	1	0	0	0	0	1	0	1	0	1	0	1
"MYH8"	1	0	0	0	0	0	0	1	0	1	1	0	0	1	1	0	0	0	0	1	0	0	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0
"FREM2"	0	0	1	1	0	1	0	0	1	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	1	0	1	0	1	1	1	1	1	0	0	0	1	0	0	1	1	1
"CFH"	1	1	1	1	1	0	0	1	0	0	1	1	1	0	1	0	1	1	1	0	0	1	0	1	0	0	0	1	1	0	1	1	0	1	0	0	1	0	1	0	1	0	1
"BAP1"	1	0	1	1	0	0	1	0	1	1	1	1	1	0	0	1	0	0	1	0	1	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	1	1	1	0	0	0
"USH2A"	0	0	0	0	0	1	1	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
"DNAH2"	1	1	0	0	0	1	0	0	0	1	1	1	0	0	0	1	1	1	0	1	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	1	1	1
"THSD7A"	0	0	0	1	1	1	1	0	1	0	1	1	1	0	0	1	0	1	0	0	0	0	1	1	1	0	1	0	1	1	0	1	1	0	0	0	0	1	1	1	1	1	1
"APOB"	1	0	0	1	0	1	0	0	1	1	0	1	1	0	1	0	0	1	0	1	1	0	1	0	0	1	0	1	1	1	0	0	0	1	0	1	0	0	1	0	0	0	0
"FLNC"	0	1	0	1	1	1	0	1	0	1	0	0	0	1	0	0	1	0	0	0	1	0	1	1	1	1	0	1	1	0	1	1	0	1	1	1	0	1	0	1	0	1	1
"NOTCH1"	0	1	1	0	0	0	1	1	1	0	0	0	0	0	1	1	1	1	0	1	1	0	1	0	1	0	1	0	1	0	0	0	1	0	0	0	1	0	1	0	1	1	1
"FBXW7"	0	1	1	1	1	0	1	1	1	0	0	0	1	0	1	1	0	0	0	1	1	1	1	1	1	0	1	0	1	0	1	1	0	0	0	0	1	1	0	1	1	0	0
"OBSCN"	1	1	0	1	1	0	1	0	1	1	1	1	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1	1	0	1	0	1	0
"SPTA1"	1	1	1	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	1	1	0	1	1	0	0	0	0	1	0	1	1	0	1	1	1
"MYO7B"	1	1	1	1	1	0	0	0	1	1	0	1	1	1	1	0	1	1	0	1	0	0	0	0	1	1	0	1	1	0	1	1	0	0	1	1	1	0	1	0	1	0	0
"DNAH8"	0	0	1	1	1	0	1	1	0	0	1	0	1	1	0	1	1	0	0	1	1	1	0	0	1	1	0	0	1	1	0	0	1	1	1	0	0	1	1	0	1	1	1
"MUC5B"	0	1	0	0	0	1	1	1	1	0	1	0	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	0	0	0	0	0	1	0	0	1	0	0
"DYNC2H1"	1	1	1	1	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	1	1	1	1	0	0	0	0	0	1	1	0	0	1	0	1	1	1	1	0	1	1	0
"CD163L1"	1	0	0	0	0	1	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	1	0	1	1	0	1	1	0	1	1	1	1	0	0	1	1	1	0	1	1	0	0
"CUBN"	1	1	0	0	1	1	1	0	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	0	0	1	1	0	0	1	1	1	0	1	0	0	0	1	0	0	0	1	0
"POLR2A"	1	1	1	0	1	1	1	1	0	1	0	0	1	0	1	0	1	0	1	1	0	1	1	0	1	0	1	1	0	0	1	1	1	1	1	1	0	1	0	0	1	1	0
"SLIT2"	0	0	1	0	1	1	0	0	1	0	1	0	0	0	1	1	0	0	0	1	0	1	1	0	1	1	0	1	1	0	0	1	1	1	0	1	0	0	0	0	1	0	0
"RNF43"	1	0	0	1	0	1	1	0	1	0	1	0	1	0	1	0	0	0	1	1	1	1	1	0	0	1	0	0	0	0	1	1	1	0	0	1	1	0	1	1	0	0	1
"FLG"	1	0	1	0	1	1	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	1	0	0	0	1	1	1	0	0	0	0	0	0	1	0	1	1	1	1	0	0	1
"KIF21A"	0	1	1	0	0	1	1	1	0	0	0	0	1	1	1	1	1	0	1	0	1	1	1	0	1	0	0	1	0	0	0	1	0	1	1	0	1	0	0	0	0	1	1
"LRP1B"	1	0	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	1	0	0	0	1	1	1	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	1
"CACNA1A"	1	0	1	1	1	1	0	1	0	0	1	0	0	0	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	0	1	1	0	1	1	1	1	1	0	0	1	1
"ADAMTS16"	1	0	1	0	0	0	0	0	0	0	0	1	1	0	1	1	0	1	0	1	1	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	1	1	0	0	1	0	0
"ATP8B4"	0	0	1	1	1	1	0	0	1	0	1	1	0	1	1	0	0	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	1	1	0	1
"TP53"	1	0	1	0	0	0	0	0	0	1	1	1	0	1	0	0	1	0	0	1	0	0	1	1	0	0	0	1	1	0	0	1	1	0	0	0	1	0	1	1	1	0	1
"ADAMTS12"	1	0	1	0	1	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0
"DST"	1	0	0	1	1	1	1	1	0	1	1	1	1	0	0	1	1	0	0	0	1	0	1	0	0	0	1	1	1	0	1	0	1	1	1	0	0	0	0	1	0	0	0
"SCN10A"	1	1	1	1	1	1	0	1	1	0	1	0	1	1	0	0	1	0	1	1	0	0	0	0	1	1	0	0	0	1	1	1	0	1	0	1	0	1	0	1	0	1	1
"ERBB4"	0	1	0	0	1	1	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	1	1	0	0	0	1	1	0	0	0	0	1	1	0	1	0	1	0	1	0	0	0
"PRKDC"	1	1	1	0	1	0	1	1	0	0	0	0	1	1	1	1	1	0	1	0	0	1	1	0	0	0	1	1	0	0	1	1	0	1	1	0	0	1	1	1	1	1	1
"FLNA"	0	0	0	1	1	0	0	0	0	1	0	1	0	1	1	1	0	0	1	1	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0
"RANBP2"	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	1	0	1	0	0	1	0	1	0	1	1	0	1	1	1	1	1	0
"PTEN"	0	1	0	1	1	0	1	1	1	0	1	0	0	1	1	0	1	1	0	0	0	1	1	0	1	0	1	1	0	1	1	1	0	0	0	0	0	1	0	0	1	0	0
"DNAH5"	0	1	0	1	1	0	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	0	1	0	0	1	0	1	0	1	1	0	1	1	1	0	0	0	1	1	0	0
"RYR3"	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	1	0	1	1	1	0	0	0	1	1	1	0	0	0	0	0	1	0	1	0	1
"COL3A1"	1	1	0	0	1	1	0	0	0	1	0	0	0	1	0	1	1	1	0	1	1	0	0	1	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
"SCN3A"	0	1	0	0	0	0	0	1	1	1	1	1	0	1	0	0	0	0	1	0	0	1	1	0	1	1	1	1	0	1	0	0	0	1	0	0	0	0	1	1	0	0	1
"SYNE2"	0	0	0	1	1	1	1	1	1	1	0	1	0	1	1	0	0	0	1	1	0	0	0	1	1	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
"COL4A4"	0	1	0	1	0	0	0	0	0	1	0	0	1	1	0	1	0	0	1	1	1	0	0	1	1	0	0	0	1	1	0	0	0	1	0	1	1	0	1	1	1	0	1
"FAT3"	0	0	0	1	1	1	1	1	0	1	1	0	1	0	1	0	1	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	1	1	1	0	0	1	0
"TG"	0	0	1	1	0	1	1	0	1	0	1	0	1	1	0	0	0	1	1	0	0	1	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0
"TENM1"	1	1	1	1	1	0	0	0	1	1	0	0	0	1	0	1	0	1	1	1	0	0	0	1	1	0	0	1	0	1	1	1	0	1	1	1	1	0	0	1	0	0	1
"FBN2"	0	0	0	1	0	0	0	1	1	0	0	1	0	1	1	0	1	0	0	1	0	1	0	0	0	1	1	0	0	0	1	1	0	1	0	1	1	0	0	1	1	0	1
"ATP2B3"	0	0	0	1	0	0	1	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	1	0	1	1	0	1	1	1
"COL22A1"	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	1	1	1	0	0	0	1	1	0	1	1	1	0	0	1	1	0
"MYH9"	1	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	0	1	0	0	0	1	1	0	1	0	0	1	1	0	1	0	0	1	1	0	1	1	1	1	0	1
"UNC13C"	0	1	0	1	0	0	1	1	1	0	1	1	0	0	0	0	1	0	0	0	1	0	1	1	0	0	1	1	1	1	0	1	1	0	0	0	1	1	1	0	1	0	1
"EPHA3"	0	1	0	1	0	0	1	0	0	0	0	0	0	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1	1	0	1	0	1	0	1	0	0	0	0	0	1	1	0
"AHNAK2"	0	0	0	0	0	0	1	1	1	1	0	1	0	0	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0	1	1	0	0	1	0	0	1	1	0
"CACNA1C"	0	0	1	1	1	0	1	1	1	1	1	1	0	1	0	0	0	1	0	0	0	1	1	1	1	0	1	0	0	0	1	1	1	1	0	1	1	0	0	1	0	1	0
