""	"OVK.18"	"OVTOKO"	"OC.314"	"OV.17R"	"Hey"	"IGROV.1"	"EFO.21"	"TYK.nu"	"EFO.27"	"TOV.21G"	"OAW.28"	"OVCA433"	"OV.56"	"OVCAR.8"	"KURAMOCHI"	"FU.OV.1"	"JHOS.4"	"PA.1"	"OV.7"	"A2780"	"KGN"	"ES.2"	"JHOS.2"	"OVISE"	"OVKATE"	"PEO1"	"Caov.3"	"SK.OV.3"	"JHOS.3"	"OVMIU"	"OVCA420"	"RMG.I"	"SW626"	"Caov.4"	"RKN"	"OAW.42"	"DOV13"	"OV.90"	"UWB1_289"	"OVCAR.5"	"OVCAR.3"	"TOV.112D"	"OVCAR.4"
"BRAF"	0	1	1	1	0	1	0	1	1	0	0	0	0	0	0	1	1	1	1	1	1	1	0	1	0	0	0	0	1	0	0	1	1	1	1	1	1	1	1	0	1	1	1
"B2M"	0	1	0	1	1	1	1	0	0	1	1	0	0	0	1	0	0	1	1	1	1	0	1	1	0	1	0	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1
"USP34"	0	0	0	1	0	1	0	0	1	0	1	1	1	1	1	1	0	1	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0
"DNAH10"	0	0	0	0	1	1	0	0	0	1	1	1	1	0	1	0	1	1	0	1	1	1	0	1	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0	1	0	0	0
"SI"	1	1	1	0	0	1	0	1	1	1	0	1	0	1	1	1	1	1	0	0	1	0	1	1	1	0	1	0	1	1	0	0	0	1	0	1	0	1	0	1	0	1	0
"CEP290"	0	0	1	0	0	0	1	1	1	1	0	0	1	1	1	1	0	0	1	0	1	1	0	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	0	0	0	1	0
"MYH4"	1	0	0	1	1	1	0	1	1	1	0	1	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1	1	1	0	0	0	1	1	1	0	1	0	0
"RELN"	0	0	1	1	1	1	0	1	0	1	1	1	0	1	1	1	0	0	0	0	0	1	1	0	0	1	1	1	1	0	1	0	0	1	1	1	0	0	1	0	1	1	0
"CDH9"	0	1	0	0	1	1	1	1	0	0	1	1	1	0	0	1	1	0	1	1	1	1	0	1	0	0	1	0	0	0	1	1	1	0	0	0	1	1	0	0	0	1	1
"PCDHB8"	1	0	1	0	1	1	0	0	1	1	1	0	0	1	0	1	0	0	1	1	0	1	0	0	0	0	0	1	0	1	1	1	0	1	1	0	1	1	1	1	1	0	0
"ANKRD30A"	1	0	0	0	1	0	1	0	0	0	1	1	0	0	1	1	0	0	1	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	1	1	1	1	1	0	0	1	1
"PKHD1"	1	1	1	0	0	0	1	0	1	1	1	1	0	1	1	1	1	0	1	0	1	0	1	1	1	0	0	0	0	1	1	0	1	1	0	0	1	0	0	1	1	0	1
"XIRP2"	0	1	0	1	0	0	0	0	0	0	1	1	1	1	0	0	1	0	0	0	1	1	1	0	0	0	0	1	0	1	0	0	1	1	0	1	1	1	1	1	1	1	1
"PTPRZ1"	1	1	1	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	0	1	1	1	1	0
"LAMA3"	1	1	1	0	1	1	1	1	1	0	1	0	0	0	0	1	1	0	1	0	0	1	1	1	0	0	0	1	1	0	1	1	1	0	0	0	0	0	0	0	1	1	0
"LAMA2"	1	0	0	1	1	1	0	0	0	0	1	1	1	1	0	1	0	0	1	1	1	0	1	0	1	0	1	0	1	1	0	0	1	0	0	1	1	1	1	1	1	1	1
"NIPBL"	1	0	0	0	1	1	1	0	0	0	1	1	0	1	0	1	1	0	1	1	0	0	0	1	0	0	1	1	1	1	0	0	1	1	1	0	0	1	0	0	0	1	1
"ANK3"	1	0	0	1	1	0	0	1	1	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	1	1	1	0	1	0	1	1	0	0	1	0	0	0	1	0	1	0	1
"MYH3"	0	0	1	0	1	0	1	0	1	1	0	1	0	1	1	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	1	1	0	1	0
