""	"OVK.18"	"OVTOKO"	"OC.314"	"OV.17R"	"Hey"	"IGROV.1"	"EFO.21"	"TYK.nu"	"EFO.27"	"TOV.21G"	"OAW.28"	"OVCA433"	"OV.56"	"OVCAR.8"	"KURAMOCHI"	"FU.OV.1"	"JHOS.4"	"PA.1"	"OV.7"	"A2780"	"KGN"	"ES.2"	"JHOS.2"	"OVISE"	"OVKATE"	"PEO1"	"Caov.3"	"SK.OV.3"	"JHOS.3"	"OVMIU"	"OVCA420"	"RMG.I"	"SW626"	"Caov.4"	"RKN"	"OAW.42"	"DOV13"	"OV.90"	"UWB1_289"	"OVCAR.5"	"OVCAR.3"	"TOV.112D"	"OVCAR.4"
"BRAF"	1	1	1	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	1	0	1	1	1	0	0	0	1	1	1	0	0	1	1	1	0	0	1	0	1	1	1	1	1
"B2M"	1	0	0	1	0	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	0	0	1	1	1	1	0	1	0	0	1	1	1	0	0	0	0	0	1	0	1	1	0
"USP34"	1	0	1	1	0	1	0	0	1	1	0	1	1	1	0	1	0	1	0	1	1	1	1	0	1	1	0	1	1	0	0	0	0	0	1	0	1	0	1	1	1	1	1
"DNAH10"	1	0	1	0	0	1	1	1	0	1	1	0	1	1	1	1	0	0	0	0	1	0	1	0	1	1	0	1	1	0	0	0	1	1	1	1	0	0	1	0	0	0	0
"SI"	1	1	1	0	0	1	0	0	0	0	1	1	0	1	1	0	1	1	0	1	1	1	0	1	0	0	1	0	1	1	1	1	0	0	1	1	1	0	0	0	1	1	1
"CEP290"	1	0	1	0	0	1	0	1	0	1	0	0	0	1	0	1	1	0	1	1	0	0	0	1	1	1	0	0	1	0	1	0	0	1	0	1	0	0	1	0	0	0	1
"MYH4"	1	1	0	1	0	1	1	1	1	1	1	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	1
"RELN"	1	1	0	0	1	1	1	0	1	1	0	0	0	0	0	0	1	1	1	1	0	0	0	0	1	0	0	0	1	0	1	1	1	0	1	0	0	0	0	0	1	1	0
"CDH9"	0	0	0	1	1	0	0	1	1	1	0	0	0	1	0	0	1	1	1	0	1	0	0	1	1	0	1	0	0	0	1	1	1	0	0	1	1	0	1	0	0	0	0
"PCDHB8"	1	0	0	0	0	0	1	1	1	0	1	1	1	0	0	1	1	0	0	0	0	1	0	0	1	1	0	1	0	0	1	0	0	1	1	0	1	0	1	1	1	0	0
"ANKRD30A"	1	1	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	1	0	0	1	1	0	1	0	0	1	0	0	0
"PKHD1"	0	0	0	0	1	0	1	1	1	1	1	1	0	1	0	1	0	1	0	1	1	1	1	0	1	0	1	1	1	0	0	0	1	0	1	0	1	1	0	0	0	0	0
"XIRP2"	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	1	1	1	0	1	1	1	0	1	1	1	1	1	0	1	1	1	1	0	0	0	0	0	1	1	0
"PTPRZ1"	1	1	1	1	0	1	0	0	1	0	1	1	0	1	0	0	1	1	0	0	1	0	0	1	0	1	1	1	1	1	0	1	1	0	1	0	0	0	0	1	0	0	1
"LAMA3"	1	1	1	1	0	0	0	1	0	1	1	0	1	1	1	1	0	1	1	1	0	1	0	0	1	1	0	1	0	1	1	1	0	1	0	1	1	1	0	0	1	1	0
"LAMA2"	1	0	1	0	1	0	1	0	0	0	1	0	0	1	1	1	1	1	1	0	0	1	1	1	0	0	1	0	1	0	0	0	0	1	1	0	0	1	0	1	1	1	1
"NIPBL"	0	1	1	1	1	1	0	1	0	0	1	1	0	0	1	0	0	0	0	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	0	1	1	1	0	0	0
"ANK3"	0	0	1	1	0	0	0	1	0	0	0	0	0	1	1	0	1	0	1	1	0	0	0	1	1	1	0	0	1	0	1	1	0	0	0	1	1	0	1	1	0	1	0
"MYH3"	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	1	1	1	0	1	0	0	0	1	0	0	0	1	0	0	1	1	1	0	0	0	1	0
"SMARCA4"	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	1	0	1	1	1	0	1	1	1	1	1	0	0	1	0	1	0	1	0	0	1	1	1	1	1	1	0
"ACVR2A"	0	1	1	1	0	0	0	1	1	1	1	1	0	1	0	1	0	1	0	1	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1
"PKHD1L1"	0	0	1	0	0	0	0	1	1	1	0	0	0	1	1	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	1	1	0	1	0	0	1	0
"SF3B1"	1	1	1	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	1	0	0	1	0	1	1	1	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	1
"ATM"	1	1	0	1	1	0	1	0	1	0	1	1	1	0	0	0	1	1	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0
"MYH8"	1	0	1	0	1	1	1	0	0	1	1	1	0	1	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	1	0	0	0	1	0	1	1	0	0	0
"FREM2"	0	1	0	0	1	0	1	1	0	1	1	0	0	1	0	1	1	1	1	0	0	0	1	1	0	1	1	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1
"CFH"	1	1	1	0	1	1	0	1	1	0	0	1	0	0	1	1	0	0	1	1	0	0	1	1	1	0	0	0	1	1	1	0	0	1	1	1	0	1	0	1	0	1	1
