""	"TCGA.61.2610"	"TCGA.13.0889"	"TCGA.24.1103"	"TCGA.23.1111"	"TCGA.23.2641"	"TCGA.61.1741"	"TCGA.OY.A56P"	"TCGA.09.2049"	"TCGA.24.2267"	"TCGA.13.1487"	"TCGA.04.1646"	"TCGA.13.0920"	"TCGA.61.1914"	"TCGA.59.2354"	"TCGA.24.1843"	"TCGA.24.2289"	"TCGA.10.0930"	"TCGA.13.1481"	"TCGA.25.2391"	"TCGA.04.1331"	"TCGA.23.1114"	"TCGA.13.0916"	"TCGA.24.1846"	"TCGA.13.1504"	"TCGA.20.1687"	"TCGA.29.1688"	"TCGA.29.1693"	"TCGA.23.1110"	"TCGA.29.1768"	"TCGA.42.2588"	"TCGA.24.2035"	"TCGA.04.1362"	"TCGA.24.1552"	"TCGA.04.1356"	"TCGA.24.2024"	"TCGA.61.1915"	"TCGA.24.2261"	"TCGA.09.1675"	"TCGA.13.0805"	"TCGA.13.0717"	"TCGA.09.2053"	"TCGA.24.1474"	"TCGA.13.1510"	"TCGA.04.1361"	"TCGA.61.1737"	"TCGA.13.0795"	"TCGA.23.1123"	"TCGA.23.1118"	"TCGA.04.1369"	"TCGA.13.0791"	"TCGA.24.1562"	"TCGA.24.2260"	"TCGA.57.1992"	"TCGA.61.1910"	"TCGA.29.1691"	"TCGA.24.2298"	"TCGA.13.0794"	"TCGA.61.1913"	"TCGA.42.2591"	"TCGA.13.0887"	"TCGA.25.2398"	"TCGA.61.2095"	"TCGA.36.2547"	"TCGA.61.1899"	"TCGA.23.1021"	"TCGA.13.0804"	"TCGA.29.1769"	"TCGA.61.2016"	"TCGA.24.1435"	"TCGA.13.1495"	"TCGA.23.1027"	"TCGA.25.2392"	"TCGA.59.2352"	"TCGA.36.2545"	"TCGA.61.1738"	"TCGA.20.1682"	"TCGA.36.2532"	"TCGA.42.2593"	"TCGA.30.1714"	"TCGA.24.1927"	"TCGA.13.1494"	"TCGA.24.1469"	"TCGA.09.0365"	"TCGA.29.1699"	"TCGA.25.1319"	"TCGA.61.2104"	"TCGA.61.1740"	"TCGA.31.1959"	"TCGA.61.2087"	"TCGA.10.0931"	"TCGA.13.0923"	"TCGA.29.1764"	"TCGA.23.2645"	"TCGA.42.2590"	"TCGA.09.0364"	"TCGA.13.1483"	"TCGA.OY.A56Q"	"TCGA.29.1763"	"TCGA.04.1648"	"TCGA.04.1336"
"BRAF"	101.971934387395	91.359640458731	93.5882306624944	106.813999231995	96.802138340728	105.015683853644	85.8799459257467	109.339167001786	86.9164648741724	93.2583067989393	126.064444887856	82.1221986248455	94.4476374812076	95.3803763630061	79.9899749319013	99.590225233352	99.3593038215447	92.3999511373781	89.5850264397015	85.1453258761485	98.9434230615509	107.375926200682	95.879633345954	94.1001634821203	94.6702715173812	121.885315135475	103.211523848805	103.686198092761	86.0655639903384	100.465750117657	104.338900959463	88.5910503282866	102.769529475047	92.7323326290278	96.0721400259595	115.585113851814	95.5530343342841	108.972317706839	83.4429174899533	100.067695677744	98.153499680036	75.871802882895	98.6983421576115	84.8095859094018	115.161568133164	113.289834476446	85.9747065089502	106.525918987663	99.3951208714243	104.374217006419	80.6992838143672	103.413439745926	95.3809804341746	104.664267941277	94.9306827913467	101.117922351232	102.409091397378	97.9427652865979	93.1342988241171	96.7589448732822	106.780446961414	104.184656405952	110.290184764393	97.4213679650796	119.601016049819	100.317848045061	86.0304712010199	105.982241350466	76.3831842253755	106.693222590881	85.9882081927858	93.0826354885661	111.333480896622	96.994403009361	87.3278528454978	100.516355713585	102.905172361431	100.395161645538	105.79352661924	92.9499420587007	100.074157315655	88.4873112021892	95.5378815367836	95.9859295737997	94.5458030787241	97.1147752904742	93.3299176981834	100.255618173644	101.985591835374	92.3398305251326	114.676994647369	91.5809156490265	111.610912109313	97.8182021871895	103.136845539259	97.3241988615498	107.397856548604	114.511780927558	108.018112117168	104.030572202067
"B2M"	102.631756464055	106.792307740157	93.1886860642884	101.432476308876	113.626442929547	96.4521867035301	99.8303850721776	103.43909999578	105.275400970637	94.9870281457008	99.2740689521673	91.4598999743573	102.749908898514	119.263406073496	99.8254159726163	112.043448526784	89.9178124183632	87.7598678248423	107.687349620122	114.691845489514	102.024416522992	83.0841077603828	108.258040612088	105.552929785264	91.7745231053676	88.5390643627589	84.4240746017792	88.3105055823391	89.9806855468582	102.617179060501	98.1248608662094	92.4830154089271	104.319677760602	97.52138633665	90.6348526208601	108.606374442353	83.4152248638292	99.0825770719784	94.4448110969391	82.4913062375268	105.016479080777	96.8228647248533	99.3930725677631	99.9495810067779	100.794742825405	101.62513579554	92.4059562737527	96.6900593022815	119.500225451386	104.227567724469	92.7988818205506	109.319959275385	92.0482897667789	90.3745483899336	99.7229051099257	104.523207595399	105.166672717793	84.6725563994197	99.8464338966855	117.099227342416	89.6221256850732	79.0977294526347	95.3415865180602	95.4181607157501	99.8949783841853	110.720018632572	85.0679812984189	101.829404878943	91.9167207679688	85.0563238011812	104.536610918101	120.340023852333	110.539153947294	111.402670478386	89.8284159791912	74.3559889449651	95.2801671007963	106.151658233826	94.0117144963862	110.49248016739	112.666293258526	87.5788888791839	94.0394983641597	96.8912477820382	111.793171048716	100.464395827393	108.34263469206	109.498142435308	93.581883097283	100.714390415423	104.603371057607	112.450517840843	105.470915850586	117.594090604713	99.8433260525879	100.925909228015	84.7352288162379	105.418832761892	92.4608209551381	97.2254120862501
"USP34"	90.1417329959071	96.728989853469	79.6671440438205	88.0768355628709	87.7211741001732	95.1157111240881	94.5568064737834	108.140202764636	94.6646042642266	115.42325787952	97.0372810856967	94.2797727764365	94.4948659491405	101.220548148226	97.5903310415639	112.985149635703	91.0710447634296	110.023666525314	92.5467962256364	97.7823883389583	107.804084742775	104.777165919995	94.3844122563375	98.0505652389768	99.5334503741388	102.312501026686	106.26407794577	94.2056746514997	113.483919430186	113.396952737654	90.0629504631016	130.645238926981	90.3910844506268	101.344291892691	82.3475960760232	101.421368620481	105.823301969391	96.8348862715627	83.6020254331365	95.5449406785499	94.1280501280376	97.1038810675069	100.342570864743	75.5870085153165	96.8985165838622	107.977844199774	114.339799580573	85.8008524127946	86.0011787394371	99.888032061712	103.499594040959	91.6655743668198	93.7496286997624	96.3715281117659	97.5175014727763	108.822651155675	111.076922241931	106.23322154381	91.4465835412876	122.830160165686	89.1393960379846	80.7612130149872	106.167472074107	102.708438025331	98.6004735890945	97.1700478614126	99.3457594441049	101.534952955549	91.4452520030606	88.1578781465976	89.3069945829698	86.4214064619401	105.91779864177	108.201751543582	113.202074001983	80.9923599140267	102.821091022628	91.191142582512	95.2721951349917	100.782758225788	97.5497704778577	104.041345006211	87.2673784294891	113.380495244588	96.0742363091632	107.581818811662	113.13798669166	110.096861510214	102.04604239101	103.378493739248	103.620498524701	98.0856335948541	77.8287738508537	102.214658470426	106.478410348151	113.416799699982	100.245676117851	99.3981671375906	101.777746989372	105.573135148883
"DNAH10"	71.1107932832046	84.3091781485605	105.009635592479	111.692286527891	94.8878076724953	109.362939472927	118.001123333554	109.153410022806	96.0162398590636	90.3798193476324	107.34330336062	91.7406932129084	109.212598930935	110.920505765063	82.0801060107748	95.3778297924008	93.4548537877985	99.7845857714116	95.135285044922	69.7769678634462	94.5785762046727	100.746825133799	87.7318271615112	93.1187456260254	94.371903642948	100.226483574117	119.736500821524	102.97339761068	82.2416361258647	117.015011904951	90.7758979778229	114.368046454751	100.274305658484	110.853178654251	82.4068855115003	102.023632741471	92.8879242579391	85.9710526083229	102.889306064222	105.214037995179	105.561449058935	93.9605430558661	109.880038805276	102.988809000538	101.473182910264	100.231119753595	108.636452431662	97.6762438782977	88.1891811673869	113.179132850117	104.396553175	103.434626018149	105.725868165488	87.6588614816443	96.1304554993879	94.5353998319954	91.3269830829371	115.365951675478	81.2781835559333	106.268232680371	83.1686914140399	93.1371575974999	123.08121679065	71.3370067772333	83.2979115110843	121.052673996984	110.400826711086	95.0277151676286	111.321226260517	95.0381029670896	102.024813581071	106.134520676842	95.4793948572133	89.3694447500293	92.7009242116408	112.642765319311	86.5542358435631	107.035060996302	97.3290061880414	100.17519551928	100.820310655081	88.4397837953461	81.3572430278401	96.9775076450327	78.8362939193555	93.4531124342321	114.486204612497	92.1673826323145	112.848357917626	116.202469192027	93.0804168799968	97.2829591453696	110.464867205751	106.60993024925	99.1987620508288	98.4788184971584	98.6545282003411	110.40798915286	102.083428490296	98.0334652951246
"SI"	93.5951829743489	96.3254924382952	84.6820186003426	100.792017089454	92.6880500093503	89.3759161357786	110.114401761792	98.2814786957775	92.1043054950517	91.2782046355859	104.014807464366	97.6241590595354	121.894559923724	70.2774252455259	120.49691511227	87.7422625217782	85.662171714788	109.453213392842	96.4696055516133	91.3090446041399	79.7346785350501	119.424313403825	96.6641603525147	100.826986445058	107.868909990665	113.791295891758	103.034832615473	118.524483219266	103.703746941889	115.512953143673	99.7741350032914	103.225554143813	96.3039824567376	112.961459170556	107.224821945173	94.9974798466211	113.689987731424	98.4540607764115	122.917545325227	104.156917655883	107.837438009785	82.9873975795792	121.998657658119	77.3456085935476	84.3903859630297	97.5461026508332	92.605695338807	120.593899561819	97.5737418779023	90.1724207305283	85.0233363164518	100.160926119054	99.0722537595678	85.189403490799	120.011868417724	104.347503630012	100.011459475398	89.9313275705836	107.410590334603	100.912471945497	99.7238855102842	91.2685829921848	97.4714380606327	104.079083217619	101.659213560829	96.1107020079411	103.37183108666	104.222515486884	107.058276713864	95.0896056369038	106.234510745394	83.1077706776553	108.982184859412	101.867859851529	80.0427870824117	100.236401773768	112.22877672222	90.4511025052695	99.0899843603453	101.986873164041	100.642412509744	105.848595876368	92.0896990923017	101.098410740619	97.2792869149242	104.691099912845	110.788078438544	101.470227525548	84.5120484312274	102.409773011338	99.1216296303352	98.8382530682659	127.637975028316	107.410697357167	93.3904660682343	94.8353920682172	97.9586068136622	99.4350310147867	108.031372249505	99.1806736347289
"CEP290"	105.705076359205	113.644349290698	99.7500236072174	95.4822624723132	100.197520068768	90.1617912829561	94.3628344409337	75.9776888639094	97.6985886372945	86.0237038209564	94.6169892396028	94.0467350389229	109.639947900825	111.284890509653	88.8278238848912	109.632667541058	114.181843531983	90.9150878380279	99.3769947560116	95.8610844506525	99.7832800631921	105.051473830684	100.061745150558	101.681468319568	93.524332561865	97.5374724498531	119.895632558034	108.067136574972	100.419605863244	96.7769383459107	99.8926014864536	98.9251511484124	108.078424382969	112.876299556704	101.05902985199	88.4930814663461	100.61200939313	106.417912902274	108.72090099529	110.081294499567	104.003803073368	104.327719836015	105.90155711993	95.7932395578205	97.5427931090088	75.849817620327	84.5746966193148	117.002836912016	96.2781861816647	112.132576025094	100.45994754228	95.4172794612243	111.613295819928	105.723241885068	108.521153994145	90.8619699274	104.054720903311	107.114896540355	96.5385026909991	102.355916779697	109.741918841646	97.1780809812805	107.46360948485	105.132579027517	110.966376858953	107.454678520244	87.3014491120965	104.497403114855	108.336520444099	103.187985088269	99.2260135298419	100.211606047576	105.117724694429	95.32398911276	88.2264866023278	119.568341564663	100.316389654591	100.707828017472	105.137923971631	110.711629105954	100.276320800358	83.6900098614233	81.124850887902	98.0339676388342	104.869837668347	93.7193651566075	102.833235464135	105.359515573832	93.4740729106824	106.75609576138	104.696494065927	89.8401414986392	103.59652647197	107.644337732779	95.9118313811344	95.5383090998799	107.913319460127	99.6098618908125	84.0491851347059	106.623463608829
"MYH4"	99.4027672395739	96.6571863526884	105.929847210253	116.420282128008	84.2713608529001	104.242478770201	102.05420795375	107.959068517308	108.771848416518	101.798051668164	89.1727718908293	95.8925780524039	107.418184762727	113.120001290136	86.4645045518236	106.932112279609	94.0611433470667	75.9779777312326	116.196151095596	119.892182649557	112.222826059403	97.4153842284777	102.465594811952	108.055467288226	92.1996751390159	99.9487465462024	104.803260487219	104.881874579885	98.6724951170186	106.621421459002	94.9976304761735	99.4846716305086	102.975327379736	96.6129641175487	103.901370028417	93.9144830929632	97.4716514257334	85.938810476705	96.2988535762296	106.90700628437	77.1806853589578	110.73622534898	95.4715970372851	98.7797421139268	94.7684411815358	112.638714500113	103.851540887634	82.593428588115	94.3943666905555	98.7136033253212	93.3599727522416	121.808469156303	94.2842024655154	94.9365324618663	116.034715053624	100.192534040757	96.0458232098561	106.882911449922	86.0686724752769	101.377117671659	105.446526677779	94.9244525523453	115.840948257938	102.311685075667	110.779837924655	97.8650245499202	92.4511810388002	102.067145173078	96.5002972289376	90.9860564118882	102.122699258275	99.0771547621626	117.440815868021	110.342069501716	114.488002770377	98.3651641815759	96.5274176230926	99.9950041434245	97.8069142418212	99.5814933133832	114.040547410458	109.263351196874	87.3940402251523	85.0629164720027	90.8364209261023	100.734111197684	98.5458812011078	105.410758855086	96.6968511303286	88.970509781713	92.5171401344083	103.836686151637	90.7728730648464	108.188414096635	95.6218626258955	111.794840135963	102.748232146014	102.576562328258	115.995836568912	96.3385336123679
"RELN"	99.0182125599476	107.327500422091	98.0180457851536	92.3040767840048	92.9666673017171	95.4868651944737	111.654619501987	121.691158693598	104.537331775412	111.540919877873	108.478014075041	103.279914384087	100.373565649595	95.1739202693496	104.513023110309	94.9860683407386	111.189717980422	101.629380475268	112.462114062564	99.2101023248922	98.2631836811542	87.375284563769	104.475679134497	97.8779913095042	90.9847480580164	90.3699717314667	105.451581749602	109.265013435569	99.8605797478683	116.39732820197	98.1832832440823	107.897740893187	100.230556945048	106.04296542217	83.5603656180245	98.5292510884678	110.086433548207	91.1123648992109	112.985292782618	90.5169487968519	97.9280699229451	104.385148006251	101.285574778999	96.2079583237427	124.857096339824	119.302800224978	85.4552200561876	87.3164236030532	89.9600391202597	104.153222449326	96.4812224042505	91.7308374265436	70.8717438534337	89.6961687306965	96.0914159731626	106.306850694985	88.7599945891616	96.440458075319	92.1862976243576	108.227275539697	101.395956062466	108.827279596645	102.816084059098	76.6449636592503	101.780098020538	113.509600431088	79.4260512800005	102.98034901155	101.927772711171	101.261173545069	76.9008668721418	104.418717660127	114.210686274553	97.2007281609114	97.264111645041	103.195060084081	90.6340936622305	108.75726693351	97.6945493004901	98.6026785883902	95.8100634567841	106.446911788581	102.646335850278	91.5875625225033	100.807239201293	104.179282965028	104.847535486609	105.272508125137	103.138206917026	89.2108075594616	103.380040133587	111.510549321905	104.056975922355	88.1677016838735	84.4164031490185	98.632503268228	111.618423155859	101.914123923996	104.992706331849	105.952244298996
"CDH9"	105.608207286201	109.465856401978	108.920083924735	103.033609607578	107.159320889077	109.250847967239	122.363228395069	100.583834994597	97.6753585227659	88.0146638991351	101.188450150068	88.363533883103	121.808336862347	97.7514100334618	110.332274248505	131.539714169837	123.840815632911	109.432089306346	120.085899557393	85.1617105317337	106.640131917273	100.467896381203	97.5498206245433	91.4757059811664	111.28544364619	99.8062652213379	97.6735831761646	104.58309895141	96.339606995681	86.8175359930787	101.895414464907	97.8209445758466	111.019144613956	109.207674072552	93.4518537889746	85.6417140786635	93.4477116405716	101.196474342889	98.4480626437393	95.349338547446	102.635448772726	106.406439208737	102.741969281464	91.6051513915257	117.253325147858	116.355358382823	98.5113723366369	90.1324290732723	108.83912871402	80.6815689927385	91.3894761850981	100.892571599747	87.794300615793	92.7172541812811	74.8581468675302	94.7938370329576	95.1587385593225	102.663100383925	106.169851713377	99.7857179121961	106.413953744981	104.412853017579	82.7503272286707	98.0840301861861	105.067491276193	97.7954474098465	86.4492240403907	78.5029320072727	103.673728582663	92.3487690781782	90.8472751336782	91.8147988868399	112.277246448589	102.499957643386	99.5007076006381	93.3180285286488	81.9377392053991	111.949666825086	98.3694978317146	110.123345231192	115.930415988997	102.791212976696	93.827147337889	83.4613663879067	109.027739931677	100.486398850575	75.1251664158136	109.750217619646	95.9136034968006	105.10043413983	102.594704974828	93.0217989964549	106.67250034177	81.3568225821244	103.074935502299	112.270936306603	113.606984387035	100.240938235024	103.676140954786	91.8439450290061
"PCDHB8"	88.1354136142053	100.043987043264	99.7428492908185	112.817374211835	104.652149064231	98.0137919018769	103.022650761689	86.4508555047232	108.700055246903	95.7427559852598	104.822472227762	107.601776650224	99.2041479649253	116.677653108794	98.0411430488611	74.5089310498306	95.9671350584521	125.446048602311	81.4558048717593	97.1312894868605	94.521618020872	111.899707653759	99.2356660545047	87.0332518521418	96.1617319970888	88.4133206137921	79.4387531528134	93.4805664155867	98.9482605383303	86.3505920501365	105.029889634915	94.5549762161553	98.3794650630948	116.447637430337	99.108572517454	97.5682763606069	126.341313662527	109.254361285411	103.180355565323	112.548569921979	101.099130460275	111.842336078705	112.850791720756	106.819052319964	103.937509844901	103.030097159629	93.2135718981856	110.71198421218	101.935399533479	81.418342159748	106.479050717508	98.4206889282069	112.977990439914	90.8432016878093	105.918511318836	98.2178078965315	95.5808711721585	108.635798993096	97.2439231343775	105.845490737378	112.383933764267	108.5791117768	104.210138288854	126.517931924846	89.5300617816583	96.3218771118883	102.16318461073	104.704586962634	88.938006195629	111.951655473324	84.1963056633103	101.834526400378	103.655418988126	99.7175387853846	98.7434447415259	107.642116194582	125.341682366834	100.905842568103	81.8183209950629	90.9805972394629	89.2112184356309	81.4563125640999	110.463943689517	97.0735701641835	89.1494783219384	117.823947719726	108.336496678575	81.6825187002847	109.33354056478	103.161323889547	84.2089428638752	102.068825900863	96.4916544335989	104.571854638291	100.633608571704	113.601930147805	103.630015893515	92.9389723324906	95.8946983819966	90.9319396717792
"ANKRD30A"	110.967770442742	96.4767769445015	93.5233954941434	106.022227951704	90.2609769359571	111.948510169004	89.5749339776897	96.3244923444595	116.560037341468	113.663086088475	97.0867519527587	99.9744416394961	113.762950288236	100.412185323166	102.273103867807	99.9186191517091	103.701085584437	108.871909334934	95.3728561751052	90.9897623098316	90.8255799455806	91.0596883537751	111.230495090989	74.5533905418226	94.0671941495609	98.429256017898	88.5263926127967	112.158044648149	116.602443771392	101.233577090621	116.739194601202	97.2541967437856	100.865447216024	91.1374838319452	93.1058853320051	120.266950236922	96.9466709848895	93.1967307749001	99.2903177048025	103.337576423562	106.37637313954	101.931314792563	95.8424957923568	108.213979808325	96.0312966306181	115.185870574439	96.0233529137329	95.5833380084691	84.7609482370456	116.613584291996	92.9077424749715	104.85045638013	110.060408338363	115.750037528927	92.5785059959353	114.947960632045	98.1595775314605	109.463427098203	116.003156324359	87.3156806862458	105.665512374018	90.9068200801479	87.1512786844498	104.819704799649	116.245042324673	92.9275456838591	105.754736496948	104.566952309507	109.222465173418	100.021006498884	106.539068876733	120.767654959941	75.7977363502739	78.331368583541	97.8060377305755	108.460874049998	102.904420917278	116.469973044425	108.55187453368	103.066280520453	111.941019818737	113.345002798623	100.594250468345	111.67487658542	107.122693616582	93.9153760929855	86.8827268951561	100.010299269299	110.229482070545	109.912034058271	105.321572046288	97.5884243875005	98.0653692647186	78.6539884206499	111.094791266325	93.4456820229763	88.7108554077915	96.4080194379156	109.27350419149	85.7639315511655
"PKHD1"	99.9465597172183	94.703044908665	106.463594150346	96.9297773546317	105.592177304683	104.955447051802	90.1645768650419	90.6548242084475	99.9363107108515	93.1570260534134	83.4788972852273	99.61772229085	115.753166767907	110.381748455514	88.9780025001251	111.387806409713	94.2470698626559	110.604367664859	110.431038333273	84.25982887604	104.371057530331	92.3470869379741	115.807503603153	105.362580116192	98.7497410291598	93.992789947906	98.1994832555828	89.1349163814226	115.550776219384	94.0796963619654	125.472281523506	100.276239006189	100.169979019331	121.725001290733	101.423983845042	89.8200255153925	100.984932015125	98.7058488979085	101.834673269033	102.026878586322	98.1554130535414	108.647378559066	103.775427772264	83.7963570465203	107.593298405723	109.616745113101	103.985880500963	98.6597706826774	97.0487698256636	102.78337589387	96.0032879517333	82.2501192787639	114.512227071332	128.615918114089	117.02007286057	95.4528896777496	93.1936530208568	105.748169057199	98.5014852857405	82.6264984740749	86.5160699712643	105.096078020003	104.047720685544	111.973589156748	100.725211388657	93.6751758719659	110.786686525116	98.8361372512071	97.5400782692191	105.330289269014	95.5596850838525	81.8876796644089	78.6883724420055	107.920987947853	97.9822120876387	112.962909593318	105.128167613397	98.196284106844	92.1911939524983	111.866353132965	91.9733129518535	109.899566314796	97.2844194490853	105.390078119576	94.7028958422916	93.9636718827267	86.9520409529395	120.411965212387	94.9660209789048	103.278064434821	89.8436809195362	106.280992250178	93.1701811737573	87.7985070949993	89.2792701790615	106.46652023213	86.5150829563447	93.6312161349818	108.645160790726	103.503033291344
