Sample_ID	Category
MOGGCCM_CENTRAL_NERVOUS_SYSTEM	Great
42MGBA_CENTRAL_NERVOUS_SYSTEM	Good
BECKER_CENTRAL_NERVOUS_SYSTEM	Good
CAS1_CENTRAL_NERVOUS_SYSTEM	Good
DKMG_CENTRAL_NERVOUS_SYSTEM	Good
GOS3_CENTRAL_NERVOUS_SYSTEM	Good
HS683_CENTRAL_NERVOUS_SYSTEM	Good
KALS1_CENTRAL_NERVOUS_SYSTEM	Good
LN229_CENTRAL_NERVOUS_SYSTEM	Good
M059K_CENTRAL_NERVOUS_SYSTEM	Good
MOGGUVW_CENTRAL_NERVOUS_SYSTEM	Good
SF295_CENTRAL_NERVOUS_SYSTEM	Good
SNU1105_CENTRAL_NERVOUS_SYSTEM	Good
SNU201_CENTRAL_NERVOUS_SYSTEM	Good
SNU466_CENTRAL_NERVOUS_SYSTEM	Good
SNU489_CENTRAL_NERVOUS_SYSTEM	Good
SNU626_CENTRAL_NERVOUS_SYSTEM	Good
SNU738_CENTRAL_NERVOUS_SYSTEM	Good
SW1088_CENTRAL_NERVOUS_SYSTEM	Good
SW1783_CENTRAL_NERVOUS_SYSTEM	Good
U138MG_CENTRAL_NERVOUS_SYSTEM	Good
YH13_CENTRAL_NERVOUS_SYSTEM	Good
YKG1_CENTRAL_NERVOUS_SYSTEM	Good
A172_CENTRAL_NERVOUS_SYSTEM	Moderately Good
AM38_CENTRAL_NERVOUS_SYSTEM	Moderately Good
CCFSTTG1_CENTRAL_NERVOUS_SYSTEM	Moderately Good
DBTRG05MG_CENTRAL_NERVOUS_SYSTEM	Moderately Good
GAMG_CENTRAL_NERVOUS_SYSTEM	Moderately Good
GI1_CENTRAL_NERVOUS_SYSTEM	Moderately Good
GMS10_CENTRAL_NERVOUS_SYSTEM	Moderately Good
H4_CENTRAL_NERVOUS_SYSTEM	Moderately Good
KNS42_CENTRAL_NERVOUS_SYSTEM	Moderately Good
KNS60_CENTRAL_NERVOUS_SYSTEM	Moderately Good
KS1_CENTRAL_NERVOUS_SYSTEM	Moderately Good
LN18_CENTRAL_NERVOUS_SYSTEM	Moderately Good
NMCG1_CENTRAL_NERVOUS_SYSTEM	Moderately Good
SF126_CENTRAL_NERVOUS_SYSTEM	Moderately Good
T98G_CENTRAL_NERVOUS_SYSTEM	Moderately Good
TM31_CENTRAL_NERVOUS_SYSTEM	Moderately Good
8MGBA_CENTRAL_NERVOUS_SYSTEM	Poor
U87MG_CENTRAL_NERVOUS_SYSTEM	Poor
