Sample_ID	Category
HCC95_LUNG	Great
LC1F_LUNG	Great
LC1SQSF_LUNG	Great
LK2_LUNG	Great
LUDLU1_LUNG	Great
NCIH520_LUNG	Great
SW1573_LUNG	Great
SW900_LUNG	Great
VMRCLCP_LUNG	Great
EBC1_LUNG	Good
EPLC272H_LUNG	Good
KNS62_LUNG	Good
NCIH1869_LUNG	Good
NCIH2170_LUNG	Good
RERFLCSQ1_LUNG	Good
SKMES1_LUNG	Good
CALU1_LUNG	Moderately Good
HARA_LUNG	Moderately Good
HCC15_LUNG	Moderately Good
NCIH1385_LUNG	Moderately Good
RERFLCAI_LUNG	Moderately Good
SQ1_LUNG	Moderately Good
LOUNH91_LUNG	Poor
HLFA_LUNG	Outlier
NCIH226_LUNG	Outlier
