Sample_ID	Category
59M_OVARY	Great
CAOV3_OVARY	Great
COV318_OVARY	Great
COV644_OVARY	Great
ES2_OVARY	Great
JHOM1_OVARY	Great
JHOS4_OVARY	Great
KURAMOCHI_OVARY	Great
OVSAHO_OVARY	Great
OVTOKO_OVARY	Great
SNU8_OVARY	Great
CAOV4_OVARY	Good
COV362_OVARY	Good
EFO21_OVARY	Good
HEYA8_OVARY	Good
JHOS2_OVARY	Good
MCAS_OVARY	Good
NIHOVCAR3_OVARY	Good
ONCODG1_OVARY	Good
OV90_OVARY	Good
OVCAR4_OVARY	Good
OVMANA_OVARY	Good
SNU119_OVARY	Good
SNU840_OVARY	Good
TYKNU_OVARY	Good
COV504_OVARY	Moderately Good
FUOV1_OVARY	Moderately Good
HS571T_OVARY	Moderately Good
JHOC5_OVARY	Moderately Good
JHOM2B_OVARY	Moderately Good
OAW28_OVARY	Moderately Good
OAW42_OVARY	Moderately Good
OVCAR8_OVARY	Moderately Good
OVISE_OVARY	Moderately Good
EFO27_OVARY	Poor
IGROV1_OVARY	Poor
OV56_OVARY	Poor
OVKATE_OVARY	Poor
RMUGS_OVARY	Poor
A2780_OVARY	Outlier
COLO704_OVARY	Outlier
COV434_OVARY	Outlier
OC316_OVARY	Outlier
OVK18_OVARY	Outlier
RMGI_OVARY	Outlier
SKOV3_OVARY	Outlier
TOV21G_OVARY	Outlier
