Alteration	Weight
DSPP_MUT	1
PIK3R1_MUT	1
PIK3CA_MUT	1
TP53_MUT	1
GATA3_MUT	1
NCOA3_MUT	1
AKT1_MUT	1
AOAH_MUT	1
MAP3K4_MUT	1
NR1H2_MUT	1
MEF2A_MUT	1
ZNF384_MUT	1
GIGYF2_MUT	1
RBMX_MUT	1
NUDT11_MUT	1
TPRX1_MUT	1
DCP1B_MUT	1
NCOR2_MUT	1
RUNX1_MUT	1
MAP2K4_MUT	1
TBX3_MUT	1
PTEN_MUT	1
MLL3_MUT	1
MAP3K1_MUT	1
CBFB_MUT	1
FOXA1_MUT	1
CDH1_MUT	1
ATN1_MUT	1
CRIPAK_MUT	1
SF3B1_MUT	1
MUC12_MUT	1
CCDC144NL_MUT	1
FRG1_MUT	1
KRTAP4-7_MUT	1
CCDC66_MUT	1
RBM5_MUT	1
ZFP36L1_MUT	1
NCOR1_MUT	1
USP36_MUT	1
KRAS_MUT	1
AQP7_MUT	1
CTCF_MUT	1
PHLDA1_MUT	1
VEZF1_MUT	1
RPGR_MUT	1
ERBB2_MUT	1
KRTAP9-9_MUT	1
BCL6B_MUT	1
KRTAP10-7_MUT	1
CTU2_MUT	1
HIST1H3B_MUT	1
RB1_MUT	1
TMEM184A_MUT	1
MYB_MUT	1
E2F4_MUT	1
MUC20_MUT	1
CDKN1B_MUT	1
HLA-B_MUT	1
HLA-A_MUT	1
AKD1_MUT	1
CASP8_MUT	1
KRTAP4-5_MUT	1
TBL1XR1_MUT	1
FGFR2_MUT	1
PRRX1_MUT	1
ZNF69_MUT	1
GNRH2_MUT	1
MED15_MUT	1
HLA-DRB1_MUT	1
STXBP2_MUT	1
C9orf150_MUT	1
DENND4B_MUT	1
AFF2_MUT	1
MUC21_MUT	1
GPS2_MUT	1
RAI1_MUT	1
HNF1A_MUT	1
EPDR1_MUT	1
PCMTD1_MUT	1
MUC2_MUT	1
SLC25A5_MUT	1
ZNF587_MUT	1
FAM21A_MUT	1
POLR2J3_MUT	1
AXL_MUT	1
BTNL8_MUT	1
MED23_MUT	1
FAM47B_MUT	1
KCNT2_MUT	1
NEK5_MUT	1
KRT38_MUT	1
HS6ST1_MUT	1
PABPC3_MUT	1
RALY_MUT	1
TLR4_MUT	1
ENSA_CNA	0.333333333333333
MCL1_CNA	0.333333333333333
GOLPH3L_CNA	0.333333333333333
DDAH1_CNA	1
C1orf150_CNA	1
PIK3CA_CNA	0.5
KCNMB3_CNA	0.5
ITPR1_CNA	1
ANKRD17_CNA	1
TERT_CNA	1
hsa-mir-587_CNA	0.5
LOC100422737_CNA	0.5
GFOD1_CNA	1
ZNF703_CNA	1
MYC_CNA	1
POLB_CNA	1
FAM208B_CNA	1
LOC283050_CNA	1
CCND1_CNA	1
APIP_CNA	1
AQP11_CNA	1
hsa-mir-1279_CNA	0.333333333333333
CPSF6_CNA	0.333333333333333
MIR1279_CNA	0.333333333333333
NINJ2_CNA	0.0909090909090909
KDM5A_CNA	0.0909090909090909
SLC6A12_CNA	0.0909090909090909
SLC6A13_CNA	0.0909090909090909
WNK1_CNA	0.0909090909090909
CCDC77_CNA	0.0909090909090909
B4GALNT3_CNA	0.0909090909090909
IQSEC3_CNA	0.0909090909090909
LOC574538_CNA	0.0909090909090909
FAM138D_CNA	0.0909090909090909
LOC100288778_CNA	0.0909090909090909
F10_CNA	1
KATNAL1_CNA	1
FOXA1_CNA	1
IGF1R_CNA	1
ERBB2_CNA	1
TUBD1_CNA	1
C19orf12_CNA	1
NOTCH3_CNA	1
ISOC2_CNA	0.5
SHISA7_CNA	0.5
ZNF217_CNA	1
MFAP2_CNA	0.111111111111111
CROCC_CNA	0.111111111111111
MST1P2_CNA	0.111111111111111
MST1P9_CNA	0.111111111111111
ATP13A2_CNA	0.111111111111111
NBPF1_CNA	0.111111111111111
CROCCP2_CNA	0.111111111111111
ESPNP_CNA	0.111111111111111
MIR3675_CNA	0.111111111111111
CCDC18_CNA	1
BOK_CNA	0.0833333333333333
DTYMK_CNA	0.0833333333333333
PDCD1_CNA	0.0833333333333333
ATG4B_CNA	0.0833333333333333
THAP4_CNA	0.0833333333333333
GAL3ST2_CNA	0.0833333333333333
ING5_CNA	0.0833333333333333
NEU4_CNA	0.0833333333333333
CXXC11_CNA	0.0833333333333333
D2HGDH_CNA	0.0833333333333333
LOC728323_CNA	0.0833333333333333
BOK-AS1_CNA	0.0833333333333333
SPATA12_CNA	1
FAT1_CNA	1
SPON2_CNA	1
MAP3K1_CNA	1
EFNA5_CNA	1
GPR31_CNA	0.142857142857143
TCP10_CNA	0.142857142857143
C6orf123_CNA	0.142857142857143
UNC93A_CNA	0.142857142857143
TTLL2_CNA	0.142857142857143
TCP10L2_CNA	0.142857142857143
MLLT4-AS1_CNA	0.142857142857143
GMDS_CNA	1
ANKRD6_CNA	0.5
LYRM2_CNA	0.5
MLL3_CNA	1
PDGFA_CNA	0.166666666666667
PRKAR1B_CNA	0.166666666666667
FAM20C_CNA	0.166666666666667
