Alteration	Weight
FBXW7_MUT	1
PIK3CA_MUT	1
NRAS_MUT	1
SMAD4_MUT	1
APC_MUT	1
TP53_MUT	1
KRAS_MUT	1
BRAF_MUT	1
FAM123B_MUT	1
SMAD2_MUT	1
TCF7L2_MUT	1
KRTAP5-5_MUT	1
ACVR1B_MUT	1
TNFRSF10C_MUT	1
KIAA1804_MUT	1
MAP2K4_MUT	1
PCBP1_MUT	1
SOX9_MUT	1
CCDC160_MUT	1
CPXCR1_MUT	1
CTNNB1_MUT	1
CDH2_MUT	1
DKK2_MUT	1
ACVR2A_MUT	1
WBSCR17_MUT	1
PTEN_MUT	1
PRIM2_MUT	1
UBE2NL_MUT	1
GPC6_MUT	1
DKK4_MUT	1
OR2M4_MUT	1
OTOL1_MUT	1
MGC26647_MUT	1
ELF3_MUT	1
GGT1_MUT	1
SCN7A_MUT	1
CCBP2_MUT	1
MGC42105_MUT	1
CRTC1_MUT	1
ACOT4_MUT	1
PCDHA10_MUT	1
CHRDL1_MUT	1
MIR548F1_CNA	1
SATB2_CNA	1
FEM1C_CNA	1
HCN1_CNA	1
KIAA0240_CNA	1
C1GALT1_CNA	1
LOC727677_CNA	1
WHSC1L1_CNA	1
ANK1_CNA	1
TOX_CNA	1
LOC100132987_CNA	1
INS_CNA	0.25
TH_CNA	0.25
INS-IGF2_CNA	0.25
MIR4686_CNA	0.25
CCND2_CNA	1
USP12_CNA	1
KLF5_CNA	1
CDX2_CNA	0.25
PDX1_CNA	0.25
ATP5EP2_CNA	0.25
PRHOXNB_CNA	0.25
IQGAP1_CNA	0.2
GABARAPL3_CNA	0.2
NGRN_CNA	0.2
ZNF774_CNA	0.2
TTLL13_CNA	0.2
FBRS_CNA	0.5
PRR14_CNA	0.5
ERBB2_CNA	1
AXIN2_CNA	1
INSR_CNA	1
C19orf12_CNA	1
hsa-mir-3193_CNA	0.25
ID1_CNA	0.25
COX4I2_CNA	0.25
MIR3193_CNA	0.25
CHD6_CNA	1
hsa-mir-298_CNA	0.0769230769230769
ATP5E_CNA	0.0769230769230769
CTSZ_CNA	0.0769230769230769
GNAS_CNA	0.0769230769230769
SLMO2_CNA	0.0769230769230769
TH1L_CNA	0.0769230769230769
NPEPL1_CNA	0.0769230769230769
TUBB1_CNA	0.0769230769230769
GNAS-AS1_CNA	0.0769230769230769
MIR296_CNA	0.0769230769230769
MIR298_CNA	0.0769230769230769
SLMO2-ATP5E_CNA	0.0769230769230769
STX16-NPEPL1_CNA	0.0769230769230769
SLC24A3_CNA	1
hsa-mir-1184-3_CNA	0.0285714285714286
hsa-mir-1184-2_CNA	0.0285714285714286
hsa-mir-1184-1_CNA	0.0285714285714286
CLIC2_CNA	0.0285714285714286
CTAG1B_CNA	0.0285714285714286
DKC1_CNA	0.0285714285714286
F8_CNA	0.0285714285714286
G6PD_CNA	0.0285714285714286
MPP1_CNA	0.0285714285714286
MTCP1_CNA	0.0285714285714286
VBP1_CNA	0.0285714285714286
F8A1_CNA	0.0285714285714286
IKBKG_CNA	0.0285714285714286
CTAG2_CNA	0.0285714285714286
TMLHE_CNA	0.0285714285714286
FUNDC2_CNA	0.0285714285714286
BRCC3_CNA	0.0285714285714286
H2AFB3_CNA	0.0285714285714286
RAB39B_CNA	0.0285714285714286
GAB3_CNA	0.0285714285714286
CTAG1A_CNA	0.0285714285714286
LINC00204B_CNA	0.0285714285714286
H2AFB2_CNA	0.0285714285714286
H2AFB1_CNA	0.0285714285714286
F8A2_CNA	0.0285714285714286
F8A3_CNA	0.0285714285714286
SNORA36A_CNA	0.0285714285714286
SNORA56_CNA	0.0285714285714286
CXorf68_CNA	0.0285714285714286
LINC00204A_CNA	0.0285714285714286
MTCP1NB_CNA	0.0285714285714286
MIR1184-1_CNA	0.0285714285714286
MIR1184-3_CNA	0.0285714285714286
MIR1184-2_CNA	0.0285714285714286
LOC100507404_CNA	0.0285714285714286
BEND5_CNA	0.5
AGBL4_CNA	0.5
PIGV_CNA	1
SYT6_CNA	1
LRP1B_CNA	1
LRRTM4_CNA	1
AGAP1_CNA	1
FHIT_CNA	1
NAALADL2_CNA	0.5
MIR4789_CNA	0.5
CHL1_CNA	0.5
CNTN6_CNA	0.5
FAM190A_CNA	1
IRF2_CNA	0.166666666666667
STOX2_CNA	0.166666666666667
TRAPPC11_CNA	0.166666666666667
ENPP6_CNA	0.166666666666667
RWDD4_CNA	0.166666666666667
LOC728175_CNA	0.166666666666667
WFS1_CNA	1
hsa-mir-582_CNA	0.333333333333333
PDE4D_CNA	0.333333333333333
PART1_CNA	0.333333333333333
SRP19_CNA	1
PARK2_CNA	1
GMDS_CNA	1
LRRN3_CNA	0.5
IMMP2L_CNA	0.5
FBXO25_CNA	0.2
C8orf42_CNA	0.2
ZNF596_CNA	0.2
OR4F21_CNA	0.2
RPL23AP53_CNA	0.2
TUSC3_CNA	1
SGK196_CNA	0.333333333333333
HGSNAT_CNA	0.333333333333333
POTEA_CNA	0.333333333333333
CSMD1_CNA	1
RFX3_CNA	1
hsa-mir-605_CNA	0.25
PRKG1_CNA	0.25
CSTF2T_CNA	0.25
MIR605_CNA	0.25
CFL1P1_CNA	1
TCF7L2_CNA	1
ZMYND11_CNA	0.5
TUBB8_CNA	0.5
C11orf65_CNA	1
hsa-mir-613_CNA	0.25
CDKN1B_CNA	0.25
APOLD1_CNA	0.25
MIR613_CNA	0.25
hsa-mir-618_CNA	0.0188679245283019
hsa-mir-617_CNA	0.0188679245283019
hsa-mir-1252_CNA	0.0188679245283019
ATP2B1_CNA	0.0188679245283019
CSRP2_CNA	0.0188679245283019
EPYC_CNA	0.0188679245283019
DUSP6_CNA	0.0188679245283019
KITLG_CNA	0.0188679245283019
MYF5_CNA	0.0188679245283019
MYF6_CNA	0.0188679245283019
PPP1R12A_CNA	0.0188679245283019
NAP1L1_CNA	0.0188679245283019
NTS_CNA	0.0188679245283019
PAWR_CNA	0.0188679245283019
SYT1_CNA	0.0188679245283019
ALX1_CNA	0.0188679245283019
PPFIA2_CNA	0.0188679245283019
GALNT4_CNA	0.0188679245283019
LIN7A_CNA	0.0188679245283019
RASSF9_CNA	0.0188679245283019
KERA_CNA	0.0188679245283019
PHLDA1_CNA	0.0188679245283019
ZDHHC17_CNA	0.0188679245283019
MGAT4C_CNA	0.0188679245283019
CCDC59_CNA	0.0188679245283019
SLC6A15_CNA	0.0188679245283019
ACSS3_CNA	0.0188679245283019
BBS10_CNA	0.0188679245283019
CEP290_CNA	0.0188679245283019
LRRIQ1_CNA	0.0188679245283019
C12orf26_CNA	0.0188679245283019
NAV3_CNA	0.0188679245283019
C12orf29_CNA	0.0188679245283019
OSBPL8_CNA	0.0188679245283019
TSPAN19_CNA	0.0188679245283019
E2F7_CNA	0.0188679245283019
TMTC2_CNA	0.0188679245283019
TMTC3_CNA	0.0188679245283019
C12orf50_CNA	0.0188679245283019
C12orf12_CNA	0.0188679245283019
POC1B_CNA	0.0188679245283019
OTOGL_CNA	0.0188679245283019
LOC338758_CNA	0.0188679245283019
PTPRQ_CNA	0.0188679245283019
MKRN9P_CNA	0.0188679245283019
C12orf37_CNA	0.0188679245283019
MIR617_CNA	0.0188679245283019
MIR618_CNA	0.0188679245283019
LOC728084_CNA	0.0188679245283019
MIR1252_CNA	0.0188679245283019
POC1B-GALNT4_CNA	0.0188679245283019
MIR4699_CNA	0.0188679245283019
MIR548AL_CNA	0.0188679245283019
KLHL33_CNA	1
SNORA79_CNA	1
NRXN3_CNA	1
SMAD3_CNA	1
B2M_CNA	1
UBE3A_CNA	1
RBFOX1_CNA	1
WWOX_CNA	1
SHISA6_CNA	1
LOC100499467_CNA	1
SMAD4_CNA	1
TMX3_CNA	1
DLGAP1_CNA	0.25
LOC201477_CNA	0.25
LOC284215_CNA	0.25
FLJ35776_CNA	0.25
hsa-mir-924_CNA	0.5
LOC647946_CNA	0.5
UQCR11_CNA	0.25
MBD3_CNA	0.25
PLK5_CNA	0.25
MEX3D_CNA	0.25
FKBP1AP1_CNA	0.333333333333333
ZNF552_CNA	0.333333333333333
ZNF587B_CNA	0.333333333333333
MACROD2-AS1_CNA	1
hsa-mir-3118-5_CNA	0.0625
hsa-mir-3156-3_CNA	0.0625
BAGE_CNA	0.0625
TPTE_CNA	0.0625
C21orf15_CNA	0.0625
BAGE5_CNA	0.0625
BAGE4_CNA	0.0625
BAGE3_CNA	0.0625
BAGE2_CNA	0.0625
ANKRD30BP2_CNA	0.0625
POTED_CNA	0.0625
ANKRD20A11P_CNA	0.0625
TEKT4P2_CNA	0.0625
MIR3156-3_CNA	0.0625
MIR3687_CNA	0.0625
MIR3648_CNA	0.0625
FAM19A5_CNA	0.5
LOC284933_CNA	0.5
