Alteration	Weight
STK11_MUT	1
TP53_MUT	1
KRAS_MUT	1
EGFR_MUT	1
KRTAP5-5_MUT	1
CDKN2A_MUT	1
KEAP1_MUT	1
NAV3_MUT	1
MAGEC1_MUT	1
CDH10_MUT	1
OR4C16_MUT	1
MUC7_MUT	1
TMTC1_MUT	1
ZNF676_MUT	1
EPHA6_MUT	1
RIMS2_MUT	1
OR2L3_MUT	1
ELTD1_MUT	1
REG1B_MUT	1
CD5L_MUT	1
CNBD1_MUT	1
REG3A_MUT	1
GABRB3_MUT	1
OR2T4_MUT	1
KRTAP1-5_MUT	1
TRIM58_MUT	1
OR4A5_MUT	1
BAGE2_MUT	1
CRIPAK_MUT	1
SPRR3_MUT	1
NRAS_MUT	1
OR2L8_MUT	1
BRAF_MUT	1
PABPC3_MUT	1
LRRIQ3_MUT	1
ZNF804A_MUT	1
OR2T34_MUT	1
SERPINB4_MUT	1
C18orf34_MUT	1
OR4C15_MUT	1
FERD3L_MUT	1
ZNF492_MUT	1
TBX22_MUT	1
U2AF1_MUT	1
NRG3_MUT	1
LRRTM4_MUT	1
RIT1_MUT	1
OR5D14_MUT	1
OR5W2_MUT	1
HGF_MUT	1
OR8H2_MUT	1
HEATR7B2_MUT	1
ADAMTS2_MUT	1
ZNF268_MUT	1
OR5I1_MUT	1
ASTN2_MUT	1
KCNT2_MUT	1
THEMIS_MUT	1
GBA3_MUT	1
PLA2G4E_MUT	1
SPANXN2_MUT	1
IL1RAPL1_MUT	1
LRRIQ1_MUT	1
TBX15_MUT	1
WDR49_MUT	1
CPXCR1_MUT	1
CXorf59_MUT	1
OR52E4_MUT	1
PCK1_MUT	1
OR5F1_MUT	1
ZIC4_MUT	1
EPHB1_MUT	1
FAM71B_MUT	1
OR8H3_MUT	1
C17orf63_MUT	1
RPL10L_MUT	1
PJA1_MUT	1
OR4S2_MUT	1
INHBA_MUT	1
OR2T27_MUT	1
OR14I1_MUT	1
RBM10_MUT	1
FLI1_MUT	1
GPR174_MUT	1
MARCH11_MUT	1
PTH_MUT	1
SYT4_MUT	1
MYL10_MUT	1
ZSWIM2_MUT	1
MAGEB18_MUT	1
AKR1B10_MUT	1
KRTAP19-6_MUT	1
NHEDC1_MUT	1
NTNG1_MUT	1
KRTAP15-1_MUT	1
OR2M7_MUT	1
PRR21_MUT	1
OR2W5_MUT	1
C7_MUT	1
SATB2_MUT	1
CMKLR1_MUT	1
DACH1_MUT	1
ADAMTS16_MUT	1
ARHGAP36_MUT	1
OR10K2_MUT	1
ANKRD7_MUT	1
CDH18_MUT	1
PYHIN1_MUT	1
EPHA7_MUT	1
OLAH_MUT	1
LIPI_MUT	1
PI15_MUT	1
ODF1_MUT	1
FABP12_MUT	1
NRXN1_MUT	1
SEMA3A_MUT	1
FAM48B1_MUT	1
UGT2B10_MUT	1
OR5D16_MUT	1
C1orf49_MUT	1
OR5T2_MUT	1
CTNNA2_MUT	1
PRIM2_MUT	1
OR6N2_MUT	1
SLC35F1_MUT	1
KRTAP11-1_MUT	1
C7orf58_MUT	1
OR14A16_MUT	1
TMEM195_MUT	1
SERPINB13_MUT	1
PPP3CA_MUT	1
C14orf177_MUT	1
KCNS2_MUT	1
FTSJD1_MUT	1
OR13G1_MUT	1
TBX5_MUT	1
CFHR3_MUT	1
APCS_MUT	1
IFNA7_MUT	1
CNGA2_MUT	1
ARNT_CNA	1
DDAH1_CNA	1
MACF1_CNA	0.5
BMP8A_CNA	0.5
LRRC31_CNA	0.5
LRRIQ4_CNA	0.5
KIT_CNA	1
TERT_CNA	1
PRKAA1_CNA	0.333333333333333
PTGER4_CNA	0.333333333333333
TTC33_CNA	0.333333333333333
NEURL1B_CNA	1
BYSL_CNA	0.333333333333333
CCND3_CNA	0.333333333333333
TAF8_CNA	0.333333333333333
EGFR_CNA	1
MET_CNA	1
ITGB8_CNA	0.5
MACC1_CNA	0.5
MIR1208_CNA	1
IKBKB_CNA	1
LOC100287846_CNA	1
EIF4EBP1_CNA	1
AKR1C2_CNA	1
CCND1_CNA	0.333333333333333
FGF19_CNA	0.333333333333333
ORAOV1_CNA	0.333333333333333
MDM2_CNA	1
KRAS_CNA	0.333333333333333
CASC1_CNA	0.333333333333333
LYRM5_CNA	0.333333333333333
CYP27B1_CNA	0.25
METTL1_CNA	0.25
TSFM_CNA	0.25
METTL21B_CNA	0.25
LIG4_CNA	0.333333333333333
