geneSymbol	diseaseName	diseaseId	DSI	score	tcga
TP53	Adrenocortical carcinoma	C0206686	0.236	0.8	ACC
CTNNB1	Adrenocortical carcinoma	C0206686	0.303	0.5	ACC
IGF2	Adrenocortical carcinoma	C0206686	0.39	0.5	ACC
BRAF	Adrenocortical carcinoma	C0206686	0.319	0.42	ACC
MEN1	Adrenocortical carcinoma	C0206686	0.444	0.42	ACC
IGF1R	Adrenocortical carcinoma	C0206686	0.399	0.37	ACC
EGFR	Adrenocortical carcinoma	C0206686	0.295	0.34	ACC
ABCB1	Adrenocortical carcinoma	C0206686	0.344	0.33	ACC
RRM1	Adrenocortical carcinoma	C0206686	0.552	0.32	ACC
CDKN2A	Adrenocortical carcinoma	C0206686	0.3	0.31	ACC
TOP2A	Adrenocortical carcinoma	C0206686	0.497	0.31	ACC
ZNRF3	Adrenocortical carcinoma	C0206686	0.691	0.31	ACC
DAXX	Adrenocortical carcinoma	C0206686	0.544	0.3	ACC
RB1	Adrenocortical carcinoma	C0206686	0.444	0.3	ACC
SPARC	Adrenocortical carcinoma	C0206686	0.445	0.3	ACC
TERT	Adrenocortical carcinoma	C0206686	0.374	0.3	ACC
BAP1	Adrenocortical carcinoma	C0206686	0.454	0.3	ACC
MED12	Adrenocortical carcinoma	C0206686	0.476	0.3	ACC
PRKAR1A	Adrenocortical carcinoma	C0206686	0.401	0.13	ACC
CDKN1C	Adrenocortical carcinoma	C0206686	0.456	0.12	ACC
APC	Adrenocortical carcinoma	C0206686	0.373	0.11	ACC
GNAS	Adrenocortical carcinoma	C0206686	0.42	0.11	ACC
NRAS	Adrenocortical carcinoma	C0206686	0.39	0.11	ACC
H19	Adrenocortical carcinoma	C0206686	0.494	0.11	ACC
CDKN1A	Adrenocortical carcinoma	C0206686	0.403	0.1	ACC
CEBPA	Leukemia, Myelocytic, Acute	C0023467	0.496	1	LAML
FLT3	Leukemia, Myelocytic, Acute	C0023467	0.462	1	LAML
RUNX1	Leukemia, Myelocytic, Acute	C0023467	0.425	0.8	LAML
DNMT3A	Leukemia, Myelocytic, Acute	C0023467	0.445	0.8	LAML
ETV6	Leukemia, Myelocytic, Acute	C0023467	0.477	0.8	LAML
GATA2	Leukemia, Myelocytic, Acute	C0023467	0.496	0.8	LAML
JAK2	Leukemia, Myelocytic, Acute	C0023467	0.385	0.8	LAML
KIT	Leukemia, Myelocytic, Acute	C0023467	0.366	0.8	LAML
PTPN11	Leukemia, Myelocytic, Acute	C0023467	0.385	0.8	LAML
IDH1	Leukemia, Myelocytic, Acute	C0023467	0.424	0.7	LAML
IDH2	Leukemia, Myelocytic, Acute	C0023467	0.434	0.7	LAML
KRAS	Leukemia, Myelocytic, Acute	C0023467	0.32	0.7	LAML
NPM1	Leukemia, Myelocytic, Acute	C0023467	0.464	0.7	LAML
NRAS	Leukemia, Myelocytic, Acute	C0023467	0.39	0.7	LAML
TERT	Leukemia, Myelocytic, Acute	C0023467	0.374	0.7	LAML
