identifier	summed_citations	binned_citations
HEL	1	<10
HH [Human lymphoma]	1	<10
KS-1 [Human glioblastoma]	1	<10
NCC010	1	<10
NCC021	1	<10
PCI-06A	1	<10
STS-0421	1	<10
COR-L303	2	<10
EMC-BAC-2	2	<10
HARA [Human squamous cell lung carcinoma]	2	<10
LB2518-MEL	2	<10
LB373-MEL-D	2	<10
MC-1010	2	<10
NBsusSR	2	<10
SK-N-MC-IXC	2	<10
TASK1	2	<10
KNS-81-FD	3	<10
LB2241-RCC	3	<10
MMAc-SF	3	<10
OMC-1 [Human cervical carcinoma]	3	<10
Ramos.2G6.4C10	3	<10
TUR	3	<10
UDSCC2	3	<10
BB30-HNC	4	<10
COR-L311	4	<10
COR-L95	4	<10
IST-SL2	4	<10
LB647-SCLC	4	<10
COLO 783	5	<10
D-502MG	5	<10
IST-MEL1	5	<10
IST-SL1	5	<10
TE 441.T	5	<10
BB49-HNC	6	<10
D-392MG	6	<10
LB771-HNC	6	<10
NCI-H2369	6	<10
PCI-38	6	<10
D-542MG	7	<10
D-566MG	7	<10
ES5	7	<10
EW-13	7	<10
Hs 940.T	7	<10
KTCTL-140	7	<10
NCI-H2722	7	<10
NCI-H2803	7	<10
NCI-H2869	7	<10
23132/87	8	<10
D-336MG	8	<10
HA7-RCC	8	<10
KMRC-20	8	<10
RPMI-6666	8	<10
TGW	8	<10
EW-22	9	<10
PCI-15A	9	<10
KTCTL-195	10	<10
NCI-H2804	10	<10
BICR 22	11	<100
CP50-MEL-B	11	<100
LNZTA3WT4	11	<100
OVMIU	11	<100
D-423MG	12	<100
KTCTL-21	12	<100
EW-16	13	<100
EW-18	13	<100
MFH-ino	13	<100
RERF-LC-Sq1	13	<100
WIL2 NS	13	<100
CRO-AP3	14	<100
NCI-H2810	14	<100
CP66-MEL	15	<100
KMH-2	15	<100
OV17R	15	<100
RERF-GC-1B	15	<100
BICR 78	16	<100
KP-N-YS	16	<100
MLMA	16	<100
PCI-30	16	<100
TC-YIK	16	<100
EW-11	17	<100
EW-12	17	<100
MZ-PC-1	17	<100
NB(TU)1	17	<100
GI-1	18	<100
Hs 939.T	18	<100
KTCTL-13	18	<100
NCI-H2818	18	<100
BB65-RCC	19	<100
CAL-39	19	<100
COLO 684	19	<100
COR-L279	19	<100
Hs 445	19	<100
NCI-H2731	19	<100
YH-13	19	<100
KINGS-1	20	<100
NCI-H2135	20	<100
KP-N-YN	21	<100
PCI-04B	21	<100
PL18 [Human pancreatic adenocarcinoma]	21	<100
BICR 10	22	<100
LB1047-RCC	22	<100
LOU-NH91	22	<100
NCI-H2795	22	<100
BICR 31	23	<100
JHU-029	23	<100
SJNB-13	23	<100
TGBC24TKB	23	<100
COLO 792	24	<100
GR-ST	24	<100
COR-L32	25	<100
CAL-78	26	<100
ETK-1	26	<100
GMS-10	26	<100
LB996-RCC	26	<100
NCI-H3118	26	<100
TT2609-C02	26	<100
HMV-II	27	<100
KTCTL-1M	27	<100
SJNB-17	27	<100
SK-GT-2	27	<100
SW954	27	<100
KTCTL-26A	28	<100
LC4-1	28	<100
NCI-H2591	28	<100
OC 314	28	<100
IA-LM	29	<100
KMRC-1	29	<100
SUP-B8	29	<100
MFE-319	30	<100
RERF-LC-FM	30	<100
SKN-3	30	<100
VMRC-MELG	30	<100
MHH-PREB-1	31	<100
NCI-H2066	31	<100
NMC-G1	31	<100
SK-LMS-1	31	<100
VMRC-RCZ	31	<100
CTB-1	32	<100
D-263MG	32	<100
SJNB-14	32	<100
SW962	32	<100
ECC12	33	<100
JHOS-3	33	<100
LB831-BLC	33	<100
ESO-51	34	<100
RCC10RGB	34	<100
NCI-H1341	35	<100
RF-48	35	<100
KALS-1	36	<100
KMOE-2	36	<100
MDST8	36	<100
OACP4 C	36	<100
RCM-1 [Human rectum adenocarcinoma]	36	<100
SNU-283	36	<100
D-247MG	38	<100
CPC-N	39	<100
EW-24	39	<100
H9	39	<100
YMB-1-E	39	<100
