Sample_ID	Category
C2BBE1_LARGE_INTESTINE	Great
CL14_LARGE_INTESTINE	Great
LS123_LARGE_INTESTINE	Great
NCIH508_LARGE_INTESTINE	Great
NCIH716_LARGE_INTESTINE	Great
NCIH747_LARGE_INTESTINE	Great
RCM1_LARGE_INTESTINE	Great
SNU1197_LARGE_INTESTINE	Great
SNU283_LARGE_INTESTINE	Great
SNU503_LARGE_INTESTINE	Great
SW1463_LARGE_INTESTINE	Great
SW403_LARGE_INTESTINE	Great
SW948_LARGE_INTESTINE	Great
CL11_LARGE_INTESTINE	Good
CL40_LARGE_INTESTINE	Good
COLO205_LARGE_INTESTINE	Good
HCC56_LARGE_INTESTINE	Good
HT29_LARGE_INTESTINE	Good
HT55_LARGE_INTESTINE	Good
LS1034_LARGE_INTESTINE	Good
MDST8_LARGE_INTESTINE	Good
OUMS23_LARGE_INTESTINE	Good
SKCO1_LARGE_INTESTINE	Good
SW1116_LARGE_INTESTINE	Good
SW1417_LARGE_INTESTINE	Good
SW480_LARGE_INTESTINE	Good
SW837_LARGE_INTESTINE	Good
T84_LARGE_INTESTINE	Good
CCK81_LARGE_INTESTINE	Moderately Good
CL34_LARGE_INTESTINE	Moderately Good
COLO320_LARGE_INTESTINE	Moderately Good
CW2_LARGE_INTESTINE	Moderately Good
GP2D_LARGE_INTESTINE	Moderately Good
HCT15_LARGE_INTESTINE	Moderately Good
HRT18_LARGE_INTESTINE	Moderately Good
HT115_LARGE_INTESTINE	Moderately Good
KM12_LARGE_INTESTINE	Moderately Good
LOVO_LARGE_INTESTINE	Moderately Good
LS180_LARGE_INTESTINE	Moderately Good
LS411N_LARGE_INTESTINE	Moderately Good
LS513_LARGE_INTESTINE	Moderately Good
RKO_LARGE_INTESTINE	Moderately Good
SNU1040_LARGE_INTESTINE	Moderately Good
SNU175_LARGE_INTESTINE	Moderately Good
SNU407_LARGE_INTESTINE	Moderately Good
SNU81_LARGE_INTESTINE	Moderately Good
SNUC2A_LARGE_INTESTINE	Moderately Good
SNUC4_LARGE_INTESTINE	Moderately Good
SNUC5_LARGE_INTESTINE	Moderately Good
SW48_LARGE_INTESTINE	Moderately Good
SW620_LARGE_INTESTINE	Moderately Good
HCT116_LARGE_INTESTINE	Poor
HS675T_LARGE_INTESTINE	Poor
HS698T_LARGE_INTESTINE	Poor
