Alteration	Weight
TP53_MUT	0.1
PIK3CA_MUT	0.1
PTEN_MUT	0.1
APC_MUT	0.1
VHL_MUT	0.1
KRAS_MUT	0.1
MLL3_MUT	0.1
MLL2_MUT	0.1
ARID1A_MUT	0.1
PBRM1_MUT	0.1
NAV3_MUT	0.1
EGFR_MUT	0.1
NF1_MUT	0.1
PIK3R1_MUT	0.1
CDKN2A_MUT	0.1
GATA3_MUT	0.1
RB1_MUT	0.1
NOTCH1_MUT	0.1
FBXW7_MUT	0.1
CTNNB1_MUT	0.1
DNMT3A_MUT	0.1
MAP3K1_MUT	0.1
FLT3_MUT	0.1
MALAT1_MUT	0.1
TSHZ3_MUT	0.1
KEAP1_MUT	0.1
CDH1_MUT	0.1
ARHGAP35_MUT	0.1
CTCF_MUT	0.1
NFE2L2_MUT	0.1
SETBP1_MUT	0.1
BAP1_MUT	0.1
NPM1_MUT	0.1
RUNX1_MUT	0.1
NRAS_MUT	0.1
IDH1_MUT	0.1
TBX3_MUT	0.1
MAP2K4_MUT	0.1
RPL22_MUT	0.1
STK11_MUT	0.1
CRIPAK_MUT	0.1
CEBPA_MUT	0.1
KDM6A_MUT	0.1
EPHA3_MUT	0.1
AKT1_MUT	0.1
STAG2_MUT	0.1
BRAF_MUT	0.1
AR_MUT	0.1
AJUBA_MUT	0.1
EPPK1_MUT	0.1
TSHZ2_MUT	0.1
PIK3CG_MUT	0.1
SOX9_MUT	0.1
ATM_MUT	0.1
CDKN1B_MUT	0.1
WT1_MUT	0.1
HGF_MUT	0.1
KDM5C_MUT	0.1
PRX_MUT	0.1
ERBB4_MUT	0.1
MTOR_MUT	0.1
TLR4_MUT	0.1
U2AF1_MUT	0.1
ARID5B_MUT	0.1
TET2_MUT	0.1
ATRX_MUT	0.1
MLL4_MUT	0.1
ELF3_MUT	0.1
BRCA1_MUT	0.1
LRRK2_MUT	0.1
POLQ_MUT	0.1
FOXA1_MUT	0.1
IDH2_MUT	0.1
CHEK2_MUT	0.1
KIT_MUT	0.1
HIST1H1C_MUT	0.1
SETD2_MUT	0.1
PDGFRA_MUT	0.1
EP300_MUT	0.1
FGFR2_MUT	0.1
CCND1_MUT	0.1
EPHB6_MUT	0.1
SMAD4_MUT	0.1
FOXA2_MUT	0.1
USP9X_MUT	0.1
BRCA2_MUT	0.1
NFE2L3_MUT	0.1
FGFR3_MUT	0.1
ASXL1_MUT	0.1
TGFBR2_MUT	0.1
SOX17_MUT	0.1
CDKN1A_MUT	0.1
B4GALT3_MUT	0.1
SF3B1_MUT	0.1
TAF1_MUT	0.1
PPP2R1A_MUT	0.1
