Gene 	 CNA_Weight 
MACF1 	 0.5 
BMP8A 	 0.5 
GOLPH3L 	 1 
IRF2BP2 	 1 
PDE11A 	 1 
PLB1 	 1 
TACC3 	 1 
TERT 	 0.125 
SLC12A7 	 0.125 
NKD2 	 0.125 
SLC6A19 	 0.125 
SLC6A18 	 0.125 
MIR4457 	 0.125 
MIR4635 	 0.125 
CTD-3080P12.3 	 0.125 
F12 	 0.3333333 
SLC34A1 	 0.3333333 
PFN3 	 0.3333333 
UBE3C 	 1 
MYC 	 1 
KAT6A 	 1 
DLG5 	 0.5 
DLG5-AS1 	 0.5 
USP35 	 0.5 
KCTD21 	 0.5 
WNK1 	 1 
RPL41 	 0.5 
ZC3H10 	 0.5 
SLC39A2 	 1 
JAG2 	 0.5 
NUDT14 	 0.5 
TBC1D16 	 1 
KCTD1 	 1 
BRD4 	 1 
LGALS16 	 1 
hsa-mir-941-3 	 0.02631579 
NPBWR2 	 0.02631579 
MYT1 	 0.02631579 
OPRL1 	 0.02631579 
TCEA2 	 0.02631579 
TPD52L2 	 0.02631579 
TNFRSF6B 	 0.02631579 
ARFRP1 	 0.02631579 
RGS19 	 0.02631579 
PRPF6 	 0.02631579 
GMEB2 	 0.02631579 
STMN3 	 0.02631579 
RTEL1 	 0.02631579 
SOX18 	 0.02631579 
LIME1 	 0.02631579 
UCKL1 	 0.02631579 
PCMTD2 	 0.02631579 
SLC2A4RG 	 0.02631579 
ZNF512B 	 0.02631579 
DNAJC5 	 0.02631579 
ZGPAT 	 0.02631579 
HELZ2 	 0.02631579 
ZBTB46 	 0.02631579 
SAMD10 	 0.02631579 
ABHD16B 	 0.02631579 
LINC00266-1 	 0.02631579 
LKAAEAR1 	 0.02631579 
LINC00176 	 0.02631579 
MIR647 	 0.02631579 
UCKL1-AS1 	 0.02631579 
MIR941-1 	 0.02631579 
MIR941-4 	 0.02631579 
MIR941-2 	 0.02631579 
MIR941-3 	 0.02631579 
MIR1914 	 0.02631579 
RTEL1-TNFRSF6B 	 0.02631579 
LOC101928604 	 0.02631579 
MIR6813 	 0.02631579 
CPXM1 	 1 
ASCC2 	 1 
GAGE1 	 0.5 
GAGE2A 	 0.5 
IRAK1 	 0.25 
TMEM187 	 0.25 
MIR3202-2 	 0.25 
MIR3202-1 	 0.25 
ARID1A 	 0.5 
PIGV 	 0.5 
PTPN14 	 1 
NEGR1 	 0.5 
NEGR1-IT1 	 0.5 
hsa-mir-1302-2 	 0.01041667 
CDK11B 	 0.01041667 
DVL1 	 0.01041667 
GABRD 	 0.01041667 
GNB1 	 0.01041667 
PEX10 	 0.01041667 
PRKCZ 	 0.01041667 
SCNN1D 	 0.01041667 
SKI 	 0.01041667 
TNFRSF4 	 0.01041667 
MMP23B 	 0.01041667 
MMP23A 	 0.01041667 
TNFRSF14 	 0.01041667 
TNFRSF18 	 0.01041667 
ISG15 	 0.01041667 
PLCH2 	 0.01041667 
SLC35E2 	 0.01041667 
RER1 	 0.01041667 
NOC2L 	 0.01041667 
SSU72 	 0.01041667 
SDF4 	 0.01041667 
